"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia EL DORADO (000)",8659,3210,5449
"Casa independiente (001)",7062,3101,3961
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",70,70,
"Vivienda en casa de vecindad (004)",20,20,
"Choza o cabaña (005)",1479,,1479
"Vivienda improvisada (006)",11,11,
"Local no dest.para hab. humana (007)",7,5,2
"Otro tipo (008)",8,1,7
