"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANCHIS (000)",32946,5786,3099,18168,524,5041,328
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",55,49,,,6,,
"Profes., científicos e intelectuales (002)",3432,3112,,287,17,16,
"Técnicos de nivel medio y trab. asimilados (003)",822,446,,320,49,7,
"Jefes y empleados de oficina (004)",677,668,,3,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4066,535,15,2991,66,459,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",9206,,1,8966,239,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2200,,452,1502,83,163,
"Obreros construc.,conf., papel, fab., instr. (008)",2751,241,928,1473,39,70,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",8926,457,1634,2359,20,4128,328
"Otra (010)",163,163,,,,,
"Ocupación no especificada (011)",648,115,69,267,5,192,
"Hombres (012)",19454,3323,2613,11316,370,1796,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",44,39,,,5,,
"Profes., científicos e intelectuales (014)",1924,1702,,204,10,8,
"Técnicos de nivel medio y trab. asimilados (015)",499,263,,200,32,4,
"Jefes y empleados de oficina (016)",340,335,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1359,296,6,947,26,84,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6671,,1,6499,171,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1646,,396,1083,73,94,
"Obreros construc.,conf., papel, fab., instr. (020)",2644,238,906,1409,39,52,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3929,236,1262,881,9,1505,36
"Otra (022)",162,162,,,,,
"Ocupación no especificada (023)",236,52,42,90,5,47,
"Mujeres (024)",13492,2463,486,6852,154,3245,292
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,10,,,1,,
"Profes., científicos e intelectuales (026)",1508,1410,,83,7,8,
"Técnicos de nivel medio y trab. asimilados (027)",323,183,,120,17,3,
"Jefes y empleados de oficina (028)",337,333,,,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2707,239,9,2044,40,375,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",2535,,,2467,68,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",554,,56,419,10,69,
"Obreros construc.,conf., papel, fab., instr. (032)",107,3,22,64,,18,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",4997,221,372,1478,11,2623,292
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",412,63,27,177,,145,
,,,,,,,
"URBANA (036)",20066,5264,1831,10542,369,1785,275
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",44,38,,,6,,
"Profes., científicos e intelectuales (038)",3201,2918,,254,17,12,
"Técnicos de nivel medio y trab. asimilados (039)",745,411,,284,44,6,
"Jefes y empleados de oficina (040)",606,597,,3,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",3584,465,11,2632,60,416,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2788,,,2676,112,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1705,,349,1160,75,121,
"Obreros construc.,conf., papel, fab., instr. (044)",2066,195,588,1206,33,44,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",4722,389,826,2152,17,1063,275
"Otra (046)",158,158,,,,,
"Ocupación no especificada (047)",447,93,57,175,5,117,
"Hombres (048)",11385,2957,1570,5961,257,613,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",34,29,,,5,,
"Profes., científicos e intelectuales (050)",1772,1577,,180,10,5,
"Técnicos de nivel medio y trab. asimilados (051)",447,238,,176,29,4,
"Jefes y empleados de oficina (052)",286,281,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1195,254,6,839,22,74,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1948,,,1868,80,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1324,,308,882,66,68,
"Obreros construc.,conf., papel, fab., instr. (056)",1983,193,576,1149,33,32,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",2055,184,645,795,7,397,27
"Otra (058)",157,157,,,,,
"Ocupación no especificada (059)",184,44,35,69,5,31,
"Mujeres (060)",8681,2307,261,4581,112,1172,248
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",10,9,,,1,,
"Profes., científicos e intelectuales (062)",1429,1341,,74,7,7,
"Técnicos de nivel medio y trab. asimilados (063)",298,173,,108,15,2,
"Jefes y empleados de oficina (064)",320,316,,,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2389,211,5,1793,38,342,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",840,,,808,32,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",381,,41,278,9,53,
"Obreros construc.,conf., papel, fab., instr. (068)",83,2,12,57,,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",2667,205,181,1357,10,666,248
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",263,49,22,106,,86,
,,,,,,,
"RURAL (072)",12880,522,1268,7626,155,3256,53
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",11,11,,,,,
"Profes., científicos e intelectuales (074)",231,194,,33,,4,
"Técnicos de nivel medio y trab. asimilados (075)",77,35,,36,5,1,
"Jefes y empleados de oficina (076)",71,71,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",482,70,4,359,6,43,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",6418,,1,6290,127,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",495,,103,342,8,42,
"Obreros construc.,conf., papel, fab., instr. (080)",685,46,340,267,6,26,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4204,68,808,207,3,3065,53
"Otra (082)",5,5,,,,,
"Ocupación no especificada (083)",201,22,12,92,,75,
"Hombres (084)",8069,366,1043,5355,113,1183,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",10,10,,,,,
"Profes., científicos e intelectuales (086)",152,125,,24,,3,
"Técnicos de nivel medio y trab. asimilados (087)",52,25,,24,3,,
"Jefes y empleados de oficina (088)",54,54,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",164,42,,108,4,10,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",4723,,1,4631,91,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",322,,88,201,7,26,
"Obreros construc.,conf., papel, fab., instr. (092)",661,45,330,260,6,20,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1874,52,617,86,2,1108,9
"Otra (094)",5,5,,,,,
"Ocupación no especificada (095)",52,8,7,21,,16,
"Mujeres (096)",4811,156,225,2271,42,2073,44
