"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",1378,13,739,409,172,45
"Conviviente (001)",301,,137,134,26,4
"Separado(a) (002)",57,,16,27,12,2
"Casado(a) (003)",277,,31,110,103,33
"Viudo(a) (004)",43,,5,15,18,5
"Divorciado(a) (005)",7,,3,3,1,
"Soltero(a) (006)",693,13,547,120,12,1
"Hombres (008)",1010,7,490,319,152,42
"Conviviente (009)",246,,108,112,22,4
"Separado(a) (010)",36,,4,19,11,2
"Casado(a) (011)",248,,26,96,96,30
"Viudo(a) (012)",30,,4,9,12,5
"Divorciado(a) (013)",4,,1,2,1,
"Soltero(a) (014)",446,7,347,81,10,1
"Mujeres (016)",368,6,249,90,20,3
"Conviviente (017)",55,,29,22,4,
"Separado(a) (018)",21,,12,8,1,
"Casado(a) (019)",29,,5,14,7,3
"Viudo(a) (020)",13,,1,6,6,
"Divorciado(a) (021)",3,,2,1,,
"Soltero(a) (022)",247,6,200,39,2,
,,,,,,
"AREA URBANA (024)",720,7,398,196,90,29
"Conviviente (025)",153,,72,61,16,4
"Separado(a) (026)",19,,8,7,3,1
"Casado(a) (027)",147,,15,57,53,22
"Viudo(a) (028)",22,,3,7,10,2
"Divorciado(a) (029)",1,,1,,,
"Soltero(a) (030)",378,7,299,64,8,
"Hombres (032)",518,5,257,150,80,26
"Conviviente (033)",120,,51,50,15,4
"Separado(a) (034)",6,,,3,2,1
"Casado(a) (035)",132,,12,51,50,19
"Viudo(a) (036)",15,,3,4,6,2
"Divorciado(a) (037)",1,,1,,,
"Soltero(a) (038)",244,5,190,42,7,
"Mujeres (040)",202,2,141,46,10,3
"Conviviente (041)",33,,21,11,1,
"Separado(a) (042)",13,,8,4,1,
"Casado(a) (043)",15,,3,6,3,3
"Viudo(a) (044)",7,,,3,4,
"Soltero(a) (046)",134,2,109,22,1,
,,,,,,
"AREA RURAL (048)",658,6,341,213,82,16
"Conviviente (049)",148,,65,73,10,
"Separado(a) (050)",38,,8,20,9,1
"Casado(a) (051)",130,,16,53,50,11
"Viudo(a) (052)",21,,2,8,8,3
"Divorciado(a) (053)",6,,2,3,1,
"Soltero(a) (054)",315,6,248,56,4,1
"Hombres (056)",492,2,233,169,72,16
"Conviviente (057)",126,,57,62,7,
"Separado(a) (058)",30,,4,16,9,1
"Casado(a) (059)",116,,14,45,46,11
"Viudo(a) (060)",15,,1,5,6,3
"Divorciado(a) (061)",3,,,2,1,
"Soltero(a) (062)",202,2,157,39,3,1
"Mujeres (064)",166,4,108,44,10,
"Conviviente (065)",22,,8,11,3,
"Separado(a) (066)",8,,4,4,,
"Casado(a) (067)",14,,2,8,4,
"Viudo(a) (068)",6,,1,3,2,
"Divorciado(a) (069)",3,,2,1,,
"Soltero(a) (070)",113,4,91,17,1,
