"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ICA (000)",84875,75872,9003
"Casa independiente (001)",73654,65972,7682
"Departamento en edificio (002)",1775,1775,
"Vivienda en quinta (003)",1209,1209,
"Vivienda en casa de vecindad (004)",994,994,
"Choza o cabaña (005)",1298,,1298
"Vivienda improvisada (006)",5370,5370,
"Local no dest.para hab. humana (007)",134,122,12
"Otro tipo (008)",441,430,11
