"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PADRE ABAD (000)",19641,2647,3947,9890,528,2278,351
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",20,20,,,,,
"Profes., científicos e intelectuales (002)",790,673,,107,7,3,
"Técnicos de nivel medio y trab. asimilados (003)",358,256,,85,17,,
"Jefes y empleados de oficina (004)",380,379,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1988,461,27,1190,94,216,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6905,,4,6584,315,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1074,,503,497,41,33,
"Obreros construc.,conf., papel, fab., instr. (008)",1608,207,572,788,26,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",5640,276,2633,450,14,1916,351
"Otra (010)",232,232,,,,,
"Ocupación no especificada (011)",646,143,208,189,14,92,
"Hombres (012)",14903,1679,3409,8116,436,1217,46
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",15,15,,,,,
"Profes., científicos e intelectuales (014)",438,378,,54,4,2,
"Técnicos de nivel medio y trab. asimilados (015)",276,198,,66,12,,
"Jefes y empleados de oficina (016)",221,220,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",802,219,3,487,56,37,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6340,,3,6054,281,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",958,,470,427,37,24,
"Obreros construc.,conf., papel, fab., instr. (020)",1557,201,554,765,26,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3659,125,2222,153,8,1105,46
"Otra (022)",231,231,,,,,
"Ocupación no especificada (023)",406,92,157,110,12,35,
"Mujeres (024)",4738,968,538,1774,92,1061,305
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,5,,,,,
"Profes., científicos e intelectuales (026)",352,295,,53,3,1,
"Técnicos de nivel medio y trab. asimilados (027)",82,58,,19,5,,
"Jefes y empleados de oficina (028)",159,159,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1186,242,24,703,38,179,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",565,,1,530,34,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",116,,33,70,4,9,
"Obreros construc.,conf., papel, fab., instr. (032)",51,6,18,23,,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1981,151,411,297,6,811,305
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",240,51,51,79,2,57,
,,,,,,,
"URBANA (036)",10504,2326,2338,4579,298,727,236
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",17,17,,,,,
"Profes., científicos e intelectuales (038)",650,555,,86,7,2,
"Técnicos de nivel medio y trab. asimilados (039)",318,227,,74,17,,
"Jefes y empleados de oficina (040)",346,345,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1694,402,13,994,88,197,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1984,,2,1879,103,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",905,,425,414,37,29,
"Obreros construc.,conf., papel, fab., instr. (044)",1373,184,492,664,23,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",2547,239,1241,373,14,444,236
"Otra (046)",232,232,,,,,
"Ocupación no especificada (047)",438,125,165,95,9,44,
"Hombres (048)",7558,1499,2038,3420,228,346,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,13,,,,,
"Profes., científicos e intelectuales (050)",364,314,,45,4,1,
"Técnicos de nivel medio y trab. asimilados (051)",255,184,,59,12,,
"Jefes y empleados de oficina (052)",198,197,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",715,193,3,432,52,35,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1778,,1,1688,89,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",810,,400,357,33,20,
"Obreros construc.,conf., papel, fab., instr. (056)",1334,178,476,649,23,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1564,107,1030,136,8,256,27
"Otra (058)",231,231,,,,,
"Ocupación no especificada (059)",296,82,128,54,7,25,
"Mujeres (060)",2946,827,300,1159,70,381,209
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",286,241,,41,3,1,
"Técnicos de nivel medio y trab. asimilados (063)",63,43,,15,5,,
"Jefes y empleados de oficina (064)",148,148,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",979,209,10,562,36,162,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",206,,1,191,14,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",95,,25,57,4,9,
"Obreros construc.,conf., papel, fab., instr. (068)",39,6,16,15,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",983,132,211,237,6,188,209
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",142,43,37,41,2,19,
,,,,,,,
"RURAL (072)",9137,321,1609,5311,230,1551,115
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",3,3,,,,,
"Profes., científicos e intelectuales (074)",140,118,,21,,1,
"Técnicos de nivel medio y trab. asimilados (075)",40,29,,11,,,
"Jefes y empleados de oficina (076)",34,34,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",294,59,14,196,6,19,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4921,,2,4705,212,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",169,,78,83,4,4,
"Obreros construc.,conf., papel, fab., instr. (080)",235,23,80,124,3,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",3093,37,1392,77,,1472,115
"Ocupación no especificada (083)",208,18,43,94,5,48,
"Hombres (084)",7345,180,1371,4696,208,871,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",74,64,,9,,1,
"Técnicos de nivel medio y trab. asimilados (087)",21,14,,7,,,
"Jefes y empleados de oficina (088)",23,23,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",87,26,,55,4,2,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",4562,,2,4366,192,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",148,,70,70,4,4,
"Obreros construc.,conf., papel, fab., instr. (092)",223,23,78,116,3,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2095,18,1192,17,,849,19
"Ocupación no especificada (095)",110,10,29,56,5,10,
"Mujeres (096)",1792,141,238,615,22,680,96
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",66,54,,12,,,
"Técnicos de nivel medio y trab. asimilados (099)",19,15,,4,,,
