"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PUERTO INCA (000)",28541,1714,4084,4230,3086,5179,4050,5233,965
"Sabe leer y escribir (001)",23359,,2511,4134,3006,4944,3712,4429,623
"No sabe leer y escribir (002)",5182,1714,1573,96,80,235,338,804,342
"Hombres (004)",15722,894,2099,2239,1651,2851,2260,3141,587
"Sabe leer y escribir (005)",13375,,1282,2179,1613,2770,2153,2916,462
"No sabe leer y escribir (006)",2347,894,817,60,38,81,107,225,125
"Mujeres (008)",12819,820,1985,1991,1435,2328,1790,2092,378
"Sabe leer y escribir (009)",9984,,1229,1955,1393,2174,1559,1513,161
"No sabe leer y escribir (010)",2835,820,756,36,42,154,231,579,217
,,,,,,,,,
"URBANA (012)",5764,275,690,916,661,950,904,1149,219
"Sabe leer y escribir (013)",5042,,457,911,657,937,876,1049,155
"No sabe leer y escribir (014)",722,275,233,5,4,13,28,100,64
"Hombres (016)",2997,139,360,446,335,473,462,649,133
"Sabe leer y escribir (017)",2681,,232,445,333,468,455,634,114
"No sabe leer y escribir (018)",316,139,128,1,2,5,7,15,19
"Mujeres (020)",2767,136,330,470,326,477,442,500,86
"Sabe leer y escribir (021)",2361,,225,466,324,469,421,415,41
"No sabe leer y escribir (022)",406,136,105,4,2,8,21,85,45
,,,,,,,,,
"RURAL (024)",22777,1439,3394,3314,2425,4229,3146,4084,746
"Sabe leer y escribir (025)",18317,,2054,3223,2349,4007,2836,3380,468
"No sabe leer y escribir (026)",4460,1439,1340,91,76,222,310,704,278
"Hombres (028)",12725,755,1739,1793,1316,2378,1798,2492,454
"Sabe leer y escribir (029)",10694,,1050,1734,1280,2302,1698,2282,348
"No sabe leer y escribir (030)",2031,755,689,59,36,76,100,210,106
"Mujeres (032)",10052,684,1655,1521,1109,1851,1348,1592,292
"Sabe leer y escribir (033)",7623,,1004,1489,1069,1705,1138,1098,120
"No sabe leer y escribir (034)",2429,684,651,32,40,146,210,494,172
