"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DOS DE MAYO (000)",43634,2537,6346,7055,5067,6488,5131,8103,2907
"Sabe leer y escribir (001)",34346,,4265,6929,4952,6028,4514,6084,1574
"No sabe leer y escribir (002)",9288,2537,2081,126,115,460,617,2019,1333
"Hombres (004)",21624,1332,3181,3610,2577,3158,2409,3988,1369
"Sabe leer y escribir (005)",18127,,2162,3553,2532,3057,2262,3542,1019
"No sabe leer y escribir (006)",3497,1332,1019,57,45,101,147,446,350
"Mujeres (008)",22010,1205,3165,3445,2490,3330,2722,4115,1538
"Sabe leer y escribir (009)",16219,,2103,3376,2420,2971,2252,2542,555
"No sabe leer y escribir (010)",5791,1205,1062,69,70,359,470,1573,983
,,,,,,,,,
"URBANA (012)",15350,798,1985,2336,1841,2364,2062,2947,1017
"Sabe leer y escribir (013)",12990,,1459,2316,1816,2276,1937,2520,666
"No sabe leer y escribir (014)",2360,798,526,20,25,88,125,427,351
"Hombres (016)",7546,416,996,1204,941,1128,945,1467,449
"Sabe leer y escribir (017)",6636,,739,1192,930,1108,920,1364,383
"No sabe leer y escribir (018)",910,416,257,12,11,20,25,103,66
"Mujeres (020)",7804,382,989,1132,900,1236,1117,1480,568
"Sabe leer y escribir (021)",6354,,720,1124,886,1168,1017,1156,283
"No sabe leer y escribir (022)",1450,382,269,8,14,68,100,324,285
,,,,,,,,,
"RURAL (024)",28284,1739,4361,4719,3226,4124,3069,5156,1890
"Sabe leer y escribir (025)",21356,,2806,4613,3136,3752,2577,3564,908
"No sabe leer y escribir (026)",6928,1739,1555,106,90,372,492,1592,982
"Hombres (028)",14078,916,2185,2406,1636,2030,1464,2521,920
"Sabe leer y escribir (029)",11491,,1423,2361,1602,1949,1342,2178,636
"No sabe leer y escribir (030)",2587,916,762,45,34,81,122,343,284
"Mujeres (032)",14206,823,2176,2313,1590,2094,1605,2635,970
"Sabe leer y escribir (033)",9865,,1383,2252,1534,1803,1235,1386,272
"No sabe leer y escribir (034)",4341,823,793,61,56,291,370,1249,698
