"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUCUITO (000)",46602,108888,99428,,2055,91.3,1.9
"De 12 a 14 años (001)",4381,12,12,,1,100,8.3
"De 15 a 19 años (002)",6484,724,698,247,96.4,34.1,
"De 20 a 24 años (003)",5680,4021,3913,596,97.3,14.8,
"De 25 a 29 años (004)",5257,7440,7227,540,97.1,7.3,
"De 30 a 34 años (005)",4109,9026,8656,332,95.9,3.7,
"De 35 a 39 años (006)",3888,11322,10775,240,95.2,2.1,
"De 40 a 44 años (007)",3175,11516,10834,87,94.1,0.8,
"De 45 a 49 años (008)",2810,11555,10757,11,93.1,0.1,
"De 50 y más años (009)",10818,53272,46556,1,87.4,,
"PEA (010)",17720,46132,42472,830,92.1,1.8,
"De 12 a 14 años (011)",166,2,2,1,100,50,
"De 15 a 19 años (012)",1381,269,260,77,96.7,28.6,
"De 20 a 24 años (013)",2576,1702,1653,222,97.1,13,
"De 25 a 29 años (014)",2626,3348,3260,220,97.4,6.6,
"De 30 a 34 años (015)",2081,4422,4211,157,95.2,3.6,
"De 35 a 39 años (016)",1910,5374,5139,111,95.6,2.1,
"De 40 a 44 años (017)",1533,5415,5089,37,94,0.7,
"De 45 a 49 años (018)",1377,5517,5124,5,92.9,0.1,
"De 50 y más años (019)",4070,20083,17734,,88.3,,
"Ocupada (020)",16574,45148,41524,795,92,1.8,
"De 12 a 14 años (021)",132,1,1,1,100,100,
"De 15 a 19 años (022)",1135,255,247,73,96.9,28.6,
"De 20 a 24 años (023)",2283,1607,1560,209,97.1,13,
"De 25 a 29 años (024)",2422,3236,3149,213,97.3,6.6,
"De 30 a 34 años (025)",1957,4277,4074,151,95.3,3.5,
"De 35 a 39 años (026)",1818,5179,4945,106,95.5,2,
"De 40 a 44 años (027)",1488,5293,4973,37,94,0.7,
"De 45 a 49 años (028)",1331,5427,5037,5,92.8,0.1,
"De 50 y más años (029)",4008,19873,17538,,88.3,,
"Desocupada (030)",1146,984,948,35,96.3,3.6,
"De 12 a 14 años (031)",34,1,1,,100,,
"De 15 a 19 años (032)",246,14,13,4,92.9,28.6,
"De 20 a 24 años (033)",293,95,93,13,97.9,13.7,
"De 25 a 29 años (034)",204,112,111,7,99.1,6.3,
"De 30 a 34 años (035)",124,145,137,6,94.5,4.1,
