"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Ocupación no especificada (083)",181,,60,58,42,21
"Hombres (084)",17887,312,6471,5292,3990,1822
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (085)",5,,1,3,1,
"Profes., científicos e intelectuales (086)",148,,47,76,25,
"Técnicos de nivel medio y trab. asimilados (087)",69,,22,34,11,2
"Jefes y empleados de oficina (088)",24,,11,7,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",132,1,48,51,20,12
"Agricult. trabaj. calif.agrop. y pesqueros (090)",10485,45,2688,3363,2903,1486
"Obreros y oper.minas, cant.,ind.manuf. y otros (091)",1244,15,541,415,202,71
"Obreros construc., conf., papel, fab., instr. (092)",392,4,179,139,61,9
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (093)",5307,247,2906,1178,741,235
"Otra (094)",10,,3,3,4,
"Ocupación no especificada (095)",71,,25,23,16,7
"Mujeres (096)",16870,444,6758,4859,3453,1356
"Profes., científicos e intelectuales (098)",69,,31,34,4,
"Técnicos de nivel medio y trab. asimilados (099)",10,,3,3,3,1
"Jefes y empleados de oficina (100)",3,,2,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",301,3,102,106,71,19
"Agricult. trabaj. calif.agrop. y pesqueros (102)",3991,55,1225,1093,996,622
"Obreros y oper.minas, cant.,ind.manuf. y otros (103)",6338,152,3209,1802,933,242
"Obreros construc., conf., papel, fab., instr. (104)",366,14,169,118,56,9
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (105)",5682,220,1982,1667,1364,449
"Ocupación no especificada (107)",110,,35,35,26,14
