"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCANE (000)",66182,2786,7097,8370,6523,8929,7497,15962,9018
"Sin nivel (001)",12528,2786,842,25,32,144,261,3387,5051
"Educación inicial (002)",1487,,1445,15,4,14,9,,
"Primaria (003)",26999,,4810,5185,640,1707,2759,8359,3539
"Secundaria (004)",19837,,,3145,5281,4828,3213,3046,324
"Superior no univ. incompleto (005)",1448,,,,340,726,204,167,11
"Superior no univ. completo (006)",1564,,,,,591,548,385,40
"Superior univ. incompleto (007)",1092,,,,226,564,140,152,10
"Superior univ. completo (008)",1227,,,,,355,363,466,43
"Hombres (010)",32021,1415,3622,4245,3272,4423,3492,7431,4121
"Sin nivel (011)",3503,1415,428,6,12,53,52,428,1109
"Educación inicial (012)",734,,719,10,1,4,,,
"Primaria (013)",12827,,2475,2596,191,410,709,3810,2636
"Secundaria (014)",11336,,,1633,2721,2526,1906,2271,279
"Superior no univ. incompleto (015)",938,,,,205,455,127,141,10
"Superior no univ. completo (016)",1012,,,,,350,345,281,36
"Superior univ. incompleto (017)",777,,,,142,401,106,118,10
"Superior univ. completo (018)",894,,,,,224,247,382,41
"Mujeres (020)",34161,1371,3475,4125,3251,4506,4005,8531,4897
"Sin nivel (021)",9025,1371,414,19,20,91,209,2959,3942
"Educación inicial (022)",753,,726,5,3,10,9,,
"Primaria (023)",14172,,2335,2589,449,1297,2050,4549,903
"Secundaria (024)",8501,,,1512,2560,2302,1307,775,45
"Superior no univ. incompleto (025)",510,,,,135,271,77,26,1
"Superior no univ. completo (026)",552,,,,,241,203,104,4
"Superior univ. incompleto (027)",315,,,,84,163,34,34,
"Superior univ. completo (028)",333,,,,,131,116,84,2
,,,,,,,,,
"URBANA (030)",13138,526,1341,1583,1534,2276,1842,3030,1006
"Sin nivel (031)",1399,526,100,6,3,17,33,319,395
"Educación inicial (032)",297,,288,5,,3,1,,
"Primaria (033)",3988,,953,840,56,171,335,1174,459
"Secundaria (034)",4629,,,732,1207,1030,734,824,102
"Superior no univ. incompleto (035)",640,,,,150,293,107,84,6
"Superior no univ. completo (036)",903,,,,,298,338,245,22
