"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CONTUMAZA (000)",10049,29,907,178,188,706,2718,504,515,3183,45,164,912
"Agric., ganadería, caza y silvicultura (001)",4955,1,4,5,2,,2713,3,2,2225,,,
"Pesca (002)",5,,,,,,5,,,,,,
"Explotación de minas y canteras (003)",53,1,3,6,2,,,33,3,5,,,
"Industrias manufactureras (004)",420,,,8,4,2,,386,15,5,,,
"Suministro de electricidad, gas y agua (005)",30,,,7,1,,,3,8,11,,,
"Construcción (006)",403,,15,8,2,,,10,198,170,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",786,,2,23,3,518,,62,1,177,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",68,,,7,,17,,41,1,2,,,
"Comercio al por mayor (009)",34,,1,4,1,27,,,,1,,,
"Comercio al por menor (010)",684,,1,12,2,474,,21,,174,,,
"Hoteles y restaurantes (011)",248,,2,5,1,127,,,,113,,,
"Trans., almac. y comunicaciones (012)",337,,3,3,10,,,3,274,44,,,
"Intermediación financiera (013)",4,,2,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",130,,17,19,13,43,,2,6,30,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",338,16,19,11,85,2,,1,6,153,45,,
"Enseñanza (016)",822,11,774,3,26,,,,,8,,,
"Servicios sociales y de salud (017)",128,,54,58,11,2,,,1,2,,,
"Otras activ. serv.comun.soc y personales (018)",120,,9,16,6,12,,1,1,75,,,
"Hogares privados con servicio doméstico (019)",165,,,1,,,,,,164,,,
"Actividad economica no especificada (021)",193,,3,5,20,,,,,1,,164,
"Desocupado (022)",912,,,,,,,,,,,,912
"Hombres (023)",7924,24,440,120,102,314,2647,313,508,2565,45,84,762
"Agric., ganadería, caza y silvicultura (024)",4712,1,3,5,1,,2642,3,2,2055,,,
"Pesca (025)",5,,,,,,5,,,,,,
"Explotación de minas y canteras (026)",47,1,3,6,2,,,29,3,3,,,
"Industrias manufactureras (027)",226,,,6,4,1,,200,12,3,,,
"Suministro de electricidad, gas y agua (028)",28,,,6,1,,,3,8,10,,,
"Construcción (029)",392,,14,8,2,,,10,196,162,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",421,,1,19,1,238,,61,1,100,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",62,,,6,,12,,41,1,2,,,
"Comercio al por mayor (032)",19,,,2,,16,,,,1,,,
"Comercio al por menor (033)",340,,1,11,1,210,,20,,97,,,
"Hoteles y restaurantes (034)",41,,2,1,,24,,,,14,,,
"Trans., almac. y comunicaciones (035)",318,,3,2,5,,,3,272,33,,,
"Intermediación financiera (036)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",101,,15,15,5,43,,2,6,15,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",269,14,11,7,54,2,,1,6,129,45,,
"Enseñanza (039)",377,8,355,1,6,,,,,7,,,
"Servicios sociales y de salud (040)",59,,21,25,9,2,,,1,1,,,
"Otras activ. serv.comun.soc y personales (041)",62,,8,15,3,4,,1,1,30,,,
"Hogares privados con servicio doméstico (042)",2,,,,,,,,,2,,,
"Actividad economica no especificada (044)",101,,3,4,9,,,,,1,,84,
"Desocupado (045)",762,,,,,,,,,,,,762
"Mujeres (046)",2125,5,467,58,86,392,71,191,7,618,,80,150
"Agric., ganadería, caza y silvicultura (047)",243,,1,,1,,71,,,170,,,
"Explotación de minas y canteras (049)",6,,,,,,,4,,2,,,
"Industrias manufactureras (050)",194,,,2,,1,,186,3,2,,,
"Suministro de electricidad, gas y agua (051)",2,,,1,,,,,,1,,,
"Construcción (052)",11,,1,,,,,,2,8,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",365,,1,4,2,280,,1,,77,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",6,,,1,,5,,,,,,,
"Comercio al por mayor (055)",15,,1,2,1,11,,,,,,,
"Comercio al por menor (056)",344,,,1,1,264,,1,,77,,,
"Hoteles y restaurantes (057)",207,,,4,1,103,,,,99,,,
"Trans., almac. y comunicaciones (058)",19,,,1,5,,,,2,11,,,
"Intermediación financiera (059)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",29,,2,4,8,,,,,15,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",69,2,8,4,31,,,,,24,,,
"Enseñanza (062)",445,3,419,2,20,,,,,1,,,
"Servicios sociales y de salud (063)",69,,33,33,2,,,,,1,,,
"Otras activ. serv.comun.soc y personales (064)",58,,1,1,3,8,,,,45,,,
"Hogares privados con servicio doméstico (065)",163,,,1,,,,,,162,,,
"Actividad economica no especificada (067)",92,,,1,11,,,,,,,80,
"Desocupado (068)",150,,,,,,,,,,,,150
,,,,,,,,,,,,,
"URBANA (069)",4815,26,808,159,179,564,567,305,434,1267,42,93,371
"Agric., ganadería, caza y silvicultura (070)",1133,1,2,4,2,,565,3,2,554,,,
"Pesca (071)",2,,,,,,2,,,,,,
"Explotación de minas y canteras (072)",46,1,3,4,2,,,28,3,5,,,
"Industrias manufactureras (073)",236,,,7,4,2,,208,11,4,,,
"Suministro de electricidad, gas y agua (074)",16,,,6,1,,,3,3,3,,,
"Construcción (075)",305,,13,7,2,,,9,165,109,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",626,,2,19,3,418,,47,1,136,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",51,,,5,,10,,33,1,2,,,
"Comercio al por mayor (078)",27,,1,3,1,21,,,,1,,,
"Comercio al por menor (079)",548,,1,11,2,387,,14,,133,,,
"Hoteles y restaurantes (080)",210,,2,5,1,101,,,,101,,,
"Trans., almac. y comunicaciones (081)",293,,3,3,9,,,3,238,37,,,
"Intermediación financiera (082)",4,,2,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",106,,16,18,12,28,,2,3,27,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",272,13,18,11,83,2,,1,6,96,42,,
"Enseñanza (085)",728,11,685,3,23,,,,,6,,,
"Servicios sociales y de salud (086)",119,,51,54,9,2,,,1,2,,,
"Otras activ. serv.comun.soc y personales (087)",101,,8,12,6,11,,1,1,62,,,
"Hogares privados con servicio doméstico (088)",125,,,1,,,,,,124,,,
"Actividad economica no especificada (090)",122,,3,5,20,,,,,1,,93,
"Desocupado (091)",371,,,,,,,,,,,,371
"Hombres (092)",3244,21,397,103,96,243,535,231,428,825,42,47,276
"Agric., ganadería, caza y silvicultura (093)",1033,1,2,4,1,,533,3,2,487,,,
"Pesca (094)",2,,,,,,2,,,,,,
"Explotación de minas y canteras (095)",41,1,3,4,2,,,25,3,3,,,
"Industrias manufactureras (096)",159,,,5,4,1,,138,9,2,,,
"Suministro de electricidad, gas y agua (097)",15,,,5,1,,,3,3,3,,,
"Construcción (098)",294,,12,7,2,,,9,163,101,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",326,,1,16,1,188,,46,1,73,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",46,,,5,,5,,33,1,2,,,
"Comercio al por mayor (101)",15,,,1,,13,,,,1,,,
"Comercio al por menor (102)",265,,1,10,1,170,,13,,70,,,
"Hoteles y restaurantes (103)",34,,2,1,,18,,,,13,,,
"Trans., almac. y comunicaciones (104)",274,,3,2,4,,,3,236,26,,,
"Intermediación financiera (105)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",78,,15,14,4,28,,2,3,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",205,11,10,7,54,2,,1,6,72,42,,
"Enseñanza (108)",336,8,318,1,4,,,,,5,,,
"Servicios sociales y de salud (109)",53,,20,22,7,2,,,1,1,,,
"Otras activ. serv.comun.soc y personales (110)",52,,7,11,3,4,,1,1,25,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,,,,1,,,
"Actividad economica no especificada (113)",64,,3,4,9,,,,,1,,47,
"Desocupado (114)",276,,,,,,,,,,,,276
"Mujeres (115)",1571,5,411,56,83,321,32,74,6,442,,46,95
"Agric., ganadería, caza y silvicultura (116)",100,,,,1,,32,,,67,,,
"Explotación de minas y canteras (118)",5,,,,,,,3,,2,,,
"Industrias manufactureras (119)",77,,,2,,1,,70,2,2,,,
"Suministro de electricidad, gas y agua (120)",1,,,1,,,,,,,,,
"Construcción (121)",11,,1,,,,,,2,8,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",300,,1,3,2,230,,1,,63,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",5,,,,,5,,,,,,,
"Comercio al por mayor (124)",12,,1,2,1,8,,,,,,,
"Comercio al por menor (125)",283,,,1,1,217,,1,,63,,,
"Hoteles y restaurantes (126)",176,,,4,1,83,,,,88,,,
"Trans., almac. y comunicaciones (127)",19,,,1,5,,,,2,11,,,
"Intermediación financiera (128)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",28,,1,4,8,,,,,15,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",67,2,8,4,29,,,,,24,,,
"Enseñanza (131)",392,3,367,2,19,,,,,1,,,
"Servicios sociales y de salud (132)",66,,31,32,2,,,,,1,,,
"Otras activ. serv.comun.soc y personales (133)",49,,1,1,3,7,,,,37,,,
"Hogares privados con servicio doméstico (134)",124,,,1,,,,,,123,,,
"Actividad economica no especificada (136)",58,,,1,11,,,,,,,46,
"Desocupado (137)",95,,,,,,,,,,,,95
,,,,,,,,,,,,,
"RURAL (138)",5234,3,99,19,9,142,2151,199,81,1916,3,71,541
"Agric., ganadería, caza y silvicultura (139)",3822,,2,1,,,2148,,,1671,,,
"Pesca (140)",3,,,,,,3,,,,,,
"Explotación de minas y canteras (141)",7,,,2,,,,5,,,,,
"Industrias manufactureras (142)",184,,,1,,,,178,4,1,,,
"Suministro de electricidad, gas y agua (143)",14,,,1,,,,,5,8,,,
"Construcción (144)",98,,2,1,,,,1,33,61,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",160,,,4,,100,,15,,41,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",17,,,2,,7,,8,,,,,
"Comercio al por mayor (147)",7,,,1,,6,,,,,,,
