"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia VILCAS HUAMAN (000)",7073,23154,2208,7056,4865,16098
"Casa independiente (001)",6885,22590,2168,6925,4717,15665
"Vivienda en quinta (003)",26,100,26,100,,
"Vivienda en casa de vecindad (004)",10,27,10,27,,
"Choza o cabaña (005)",147,432,,,147,432
"Vivienda improvisada (006)",3,3,3,3,,
"Local no dest.para hab. humana (007)",1,1,1,1,,
"Otro tipo (008)",1,1,,,1,1
