"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DATEM DEL MARAÑON (000)",48859,13371,35488
"Casa independiente (001)",45218,12972,32246
"Vivienda en quinta (003)",234,234,
"Vivienda en casa de vecindad (004)",87,87,
"Choza o cabaña (005)",3190,,3190
"Vivienda improvisada (006)",70,70,
"Local no dest.para hab. humana (007)",21,8,13
"Otro tipo (008)",39,,39
