"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LA MAR (000)",25909,28,1221,309,222,1963,12448,404,736,7679,86,813
"Agric., ganadería, caza y silvicultura (001)",18817,,13,29,2,,12444,2,4,6323,,
"Pesca (002)",11,,,,,,4,,,7,,
"Explotación de minas y canteras (003)",30,,,6,3,,,10,7,4,,
"Industrias manufactureras (004)",243,,2,4,,1,,230,5,1,,
"Suministro de electricidad, gas y agua (005)",15,,4,1,3,,,2,,5,,
"Construcción (006)",614,,26,15,3,,,33,274,263,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2180,,8,43,6,1570,,109,14,430,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",129,,,4,1,47,,76,1,,,
"Comercio al por mayor (009)",89,,1,3,1,75,,,6,3,,
"Comercio al por menor (010)",1962,,7,36,4,1448,,33,7,427,,
"Hoteles y restaurantes (011)",588,,1,28,1,331,,2,,225,,
"Trans., almac. y comunicaciones (012)",460,,2,12,10,,,4,396,36,,
"Intermediación financiera (013)",20,,3,4,10,,,,,3,,
"Activid.inmobil., empres. y alquileres (014)",113,,39,35,9,11,,2,2,15,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",491,20,42,14,129,6,,10,26,158,86,
"Enseñanza (016)",1010,8,975,4,10,,,,1,12,,
"Servicios sociales y de salud (017)",179,,83,74,9,4,,,4,5,,
"Otras activ. serv.comun.soc y personales (018)",140,,12,32,12,40,,,3,41,,
"Hogares privados con servicio doméstico (019)",151,,,,,,,,,151,,
"Actividad economica no especificada (021)",847,,11,8,15,,,,,,,813
"Hombres (022)",18803,24,700,220,151,716,11046,357,728,4454,86,321
"Agric., ganadería, caza y silvicultura (023)",14839,,12,28,2,,11042,2,4,3749,,
"Pesca (024)",11,,,,,,4,,,7,,
"Explotación de minas y canteras (025)",29,,,6,3,,,10,7,3,,
"Industrias manufactureras (026)",202,,2,4,,,,190,5,1,,
"Suministro de electricidad, gas y agua (027)",15,,4,1,3,,,2,,5,,
"Construcción (028)",592,,25,14,1,,,33,269,250,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",920,,5,24,1,602,,102,13,173,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",107,,,3,,31,,72,1,,,
"Comercio al por mayor (031)",59,,1,2,1,48,,,5,2,,
"Comercio al por menor (032)",754,,4,19,,523,,30,7,171,,
"Hoteles y restaurantes (033)",151,,,15,1,91,,2,,42,,
"Trans., almac. y comunicaciones (034)",443,,1,11,7,,,4,395,25,,
"Intermediación financiera (035)",17,,3,3,8,,,,,3,,
"Activid.inmobil., empres. y alquileres (036)",96,,33,30,4,11,,2,2,14,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",418,17,34,11,91,6,,10,25,138,86,
"Enseñanza (038)",547,7,521,2,7,,,,1,9,,
"Servicios sociales y de salud (039)",84,,37,39,3,1,,,4,,,
"Otras activ. serv.comun.soc y personales (040)",62,,12,28,9,5,,,3,5,,
"Hogares privados con servicio doméstico (041)",30,,,,,,,,,30,,
"Actividad economica no especificada (043)",347,,11,4,11,,,,,,,321
"Mujeres (044)",7106,4,521,89,71,1247,1402,47,8,3225,,492
"Agric., ganadería, caza y silvicultura (045)",3978,,1,1,,,1402,,,2574,,
"Explotación de minas y canteras (047)",1,,,,,,,,,1,,
"Industrias manufactureras (048)",41,,,,,1,,40,,,,
"Construcción (050)",22,,1,1,2,,,,5,13,,
