"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CELENDIN (000)",23866,2520,28,14203,3835,444,1895,176,765
"Agric., ganadería, caza y silvicultura (001)",14731,1787,8,10807,1903,89,93,15,29
"Explotación de minas y canteras (003)",42,1,,20,11,,2,4,4
"Industrias manufactureras (004)",1534,242,2,938,259,23,49,11,10
"Suministro de electricidad, gas y agua (005)",19,,,5,3,,5,,6
"Construcción (006)",779,30,2,365,268,27,43,4,40
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1627,85,5,605,512,91,234,29,66
"Venta, mant.y rep. veh.autom.y motoc. (008)",113,1,,24,33,10,32,6,7
"Comercio al por mayor (009)",57,1,,24,11,7,7,4,3
"Comercio al por menor (010)",1457,83,5,557,468,74,195,19,56
"Hoteles y restaurantes (011)",398,53,1,205,102,13,12,5,7
"Trans., almac. y comunicaciones (012)",511,9,,119,240,31,68,20,24
"Intermediación financiera (013)",17,,,,,3,6,,8
"Activid.inmobil., empres. y de alquiler (014)",137,3,,12,26,12,29,10,45
"Admin.pub. y defensa; p. segur.soc.afil (015)",369,4,2,63,102,18,98,11,71
"Enseñanza (016)",1608,,,,59,68,1100,45,336
"Servicios sociales y de salud (017)",169,1,,1,4,18,58,3,84
"Otras activ. serv.comun.soc y personales (018)",362,56,2,146,85,16,39,6,12
"Hogares privados con servicio doméstico (019)",718,139,5,421,130,9,13,1,
"Actividad economica no especificada (021)",845,110,1,496,131,26,46,12,23
"Hombres (022)",18144,1619,12,11568,3049,291,1008,129,468
"Agric., ganadería, caza y silvicultura (023)",13733,1503,6,10181,1833,84,85,14,27
"Explotación de minas y canteras (025)",41,1,,20,11,,2,4,3
"Industrias manufactureras (026)",426,14,1,218,139,13,29,7,5
"Suministro de electricidad, gas y agua (027)",15,,,5,3,,2,,5
"Construcción (028)",771,30,1,362,266,27,42,4,39
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",787,15,2,292,272,40,111,20,35
"Venta, mant.y rep. veh.autom.y motoc. (030)",104,1,,23,29,10,29,5,7
"Comercio al por mayor (031)",36,1,,15,7,4,6,1,2
"Comercio al por menor (032)",647,13,2,254,236,26,76,14,26
"Hoteles y restaurantes (033)",72,2,,22,33,2,5,3,5
"Trans., almac. y comunicaciones (034)",474,8,,116,224,30,59,18,19
"Intermediación financiera (035)",15,,,,,3,5,,7
"Activid.inmobil., empres. y de alquiler (036)",89,,,7,19,8,15,6,34
"Admin.pub. y defensa; p. segur.soc.afil (037)",284,4,1,49,83,14,70,8,55
"Enseñanza (038)",770,,,,23,34,510,27,176
"Servicios sociales y de salud (039)",74,,,,2,12,24,2,34
"Otras activ. serv.comun.soc y personales (040)",221,20,1,87,64,12,25,6,6
"Hogares privados con servicio doméstico (041)",31,9,,15,7,,,,
"Actividad economica no especificada (043)",341,13,,194,70,12,24,10,18
"Mujeres (044)",5722,901,16,2635,786,153,887,47,297
"Agric., ganadería, caza y silvicultura (045)",998,284,2,626,70,5,8,1,2
"Explotación de minas y canteras (047)",1,,,,,,,,1
