"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAMANGA (000)",221390,4242,72668,64776,41094,26845,11765
"Hombres (001)",108027,2210,36918,31690,19511,12625,5073
"Mujeres (002)",113363,2032,35750,33086,21583,14220,6692
"Viviendas particulares (003)",217703,4186,72312,63344,39922,26371,11568
"Hombres (004)",105320,2180,36751,30555,18578,12283,4973
"Mujeres (005)",112383,2006,35561,32789,21344,14088,6595
"Viviendas colectivas (006)",3213,56,318,1280,1009,383,167
"Hombres (007)",2354,30,144,1019,811,276,74
"Mujeres (008)",859,26,174,261,198,107,93
"Otro tipo (009)",474,,38,152,163,91,30
"Hombres (010)",353,,23,116,122,66,26
"Mujeres (011)",121,,15,36,41,25,4
,,,,,,,
"URBANA (012)",161636,2957,49759,50546,31483,19416,7475
"Hombres (013)",78744,1536,25237,24657,14857,9257,3200
"Mujeres (014)",82892,1421,24522,25889,16626,10159,4275
"Viviendas particulares (015)",157988,2901,49407,49128,30322,18949,7281
"Hombres (016)",76057,1506,25072,23531,13929,8918,3101
"Mujeres (017)",81931,1395,24335,25597,16393,10031,4180
"Viviendas colectivas (018)",3209,56,317,1279,1007,383,167
"Hombres (019)",2352,30,143,1019,810,276,74
"Mujeres (020)",857,26,174,260,197,107,93
"Otro tipo (021)",439,,35,139,154,84,27
"Hombres (022)",335,,22,107,118,63,25
"Mujeres (023)",104,,13,32,36,21,2
,,,,,,,
"RURAL (024)",59754,1285,22909,14230,9611,7429,4290
"Hombres (025)",29283,674,11681,7033,4654,3368,1873
"Mujeres (026)",30471,611,11228,7197,4957,4061,2417
"Viviendas particulares (027)",59715,1285,22905,14216,9600,7422,4287
"Hombres (028)",29263,674,11679,7024,4649,3365,1872
"Mujeres (029)",30452,611,11226,7192,4951,4057,2415
"Viviendas colectivas (030)",4,,1,1,2,,
"Hombres (031)",2,,1,,1,,
"Mujeres (032)",2,,,1,1,,
"Otro tipo (033)",35,,3,13,9,7,3
"Hombres (034)",18,,1,9,4,3,1
"Mujeres (035)",17,,2,4,5,4,2
