"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,9792,2220,2492,1856
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,,3,2,8
"Profes., científicos e intelectuales (002)",428,96,88,120,124
"Técnicos de nivel medio y trab. asimilados (003)",179,104,22,21,32
"Jefes y empleados de oficina (004)",116,23,11,12,70
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1785,1679,85,8,13
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2011,1945,66,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3189,1594,630,608,357
"Obreros construc.,conf.,papel, fab., instr. (008)",368,268,70,17,13
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7734,3704,1175,1664,1191
"Otra (010)",24,,,,24
"Ocupación no especificada (011)",513,379,70,40,24
"Hombres (012)",12036,6111,1968,2322,1635
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",12,,2,2,8
"Profes., científicos e intelectuales (014)",311,70,69,90,82
"Técnicos de nivel medio y trab. asimilados (015)",126,66,20,18,22
"Jefes y empleados de oficina (016)",86,14,9,10,53
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",568,510,42,4,12
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1542,1495,47,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2655,1170,571,584,330
"Obreros construc.,conf.,papel, fab., instr. (020)",358,260,70,17,11
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6054,2345,1075,1559,1075
"Otra (022)",23,,,,23
"Ocupación no especificada (023)",301,181,63,38,19
"Mujeres (024)",4324,3681,252,170,221
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",1,,1,,
"Profes., científicos e intelectuales (026)",117,26,19,30,42
"Técnicos de nivel medio y trab. asimilados (027)",53,38,2,3,10
"Jefes y empleados de oficina (028)",30,9,2,2,17
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1217,1169,43,4,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",469,450,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",534,424,59,24,27
"Obreros construc.,conf.,papel, fab., instr. (032)",10,8,,,2
