"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia UTCUBAMBA (000)",35569,4725,9447,15623,1050,4195,529
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,39,,,1,,
"Profes., científicos e intelectuales (002)",2077,1941,,121,12,3,
"Técnicos de nivel medio y trab. asimilados (003)",554,369,,144,36,5,
"Jefes y empleados de oficina (004)",571,565,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2796,595,32,1772,101,296,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",11475,6,,10676,791,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",983,,251,658,43,31,
"Obreros construc.,conf.,papel, fab., instr. (008)",2171,247,564,1284,48,28,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",14087,530,8522,749,10,3747,529
"Otra (010)",355,355,,,,,
"Ocupación no especificada (011)",460,78,78,216,8,80,
"Hombres (012)",28964,2822,8569,13383,951,3202,37
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,30,,,1,,
"Profes., científicos e intelectuales (014)",1136,1040,,85,10,1,
"Técnicos de nivel medio y trab. asimilados (015)",342,220,,99,21,2,
"Jefes y empleados de oficina (016)",300,297,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1321,334,10,839,58,80,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10925,4,,10149,770,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",808,,214,529,39,26,
"Obreros construc.,conf.,papel, fab., instr. (020)",2141,245,552,1269,47,28,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11473,267,7764,352,2,3051,37
"Otra (022)",350,350,,,,,
"Ocupación no especificada (023)",137,35,29,59,3,11,
"Mujeres (024)",6605,1903,878,2240,99,993,492
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,9,,,,,
"Profes., científicos e intelectuales (026)",941,901,,36,2,2,
"Técnicos de nivel medio y trab. asimilados (027)",212,149,,45,15,3,
"Jefes y empleados de oficina (028)",271,268,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1475,261,22,933,43,216,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",550,2,,527,21,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",175,,37,129,4,5,
"Obreros construc.,conf.,papel, fab., instr. (032)",30,2,12,15,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2614,263,758,397,8,696,492
"Otra (034)",5,5,,,,,
"Ocupación no especificada (035)",323,43,49,157,5,69,
,,,,,,,
"URBANA (036)",16453,4152,3328,6885,476,1153,459
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",30,29,,,1,,
"Profes., científicos e intelectuales (038)",1704,1574,,115,12,3,
"Técnicos de nivel medio y trab. asimilados (039)",481,308,,137,33,3,
"Jefes y empleados de oficina (040)",539,533,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2498,572,25,1533,91,277,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2824,6,,2574,242,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",854,,214,578,39,23,
"Obreros construc.,conf.,papel, fab., instr. (044)",1896,219,471,1137,44,25,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",4972,495,2558,674,10,776,459
"Otra (046)",345,345,,,,,
"Ocupación no especificada (047)",310,71,60,134,4,41,
"Hombres (048)",11933,2504,2962,5288,395,753,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",21,20,,,1,,
"Profes., científicos e intelectuales (050)",944,852,,81,10,1,
"Técnicos de nivel medio y trab. asimilados (051)",304,190,,94,19,1,
"Jefes y empleados de oficina (052)",281,278,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1179,318,8,731,49,73,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",2660,4,,2419,235,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",713,,182,474,35,22,
"Obreros construc.,conf.,papel, fab., instr. (056)",1867,217,460,1122,43,25,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",3520,253,2290,323,2,621,31
"Otra (058)",340,340,,,,,
"Ocupación no especificada (059)",104,32,22,42,1,7,
"Mujeres (060)",4520,1648,366,1597,81,400,428
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",9,9,,,,,
"Profes., científicos e intelectuales (062)",760,722,,34,2,2,
"Técnicos de nivel medio y trab. asimilados (063)",177,118,,43,14,2,
"Jefes y empleados de oficina (064)",258,255,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1319,254,17,802,42,204,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",164,2,,155,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",141,,32,104,4,1,
"Obreros construc.,conf.,papel, fab., instr. (068)",29,2,11,15,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",1452,242,268,351,8,155,428
"Otra (070)",5,5,,,,,
"Ocupación no especificada (071)",206,39,38,92,3,34,
,,,,,,,
"RURAL (072)",19116,573,6119,8738,574,3042,70
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,10,,,,,
"Profes., científicos e intelectuales (074)",373,367,,6,,,
"Técnicos de nivel medio y trab. asimilados (075)",73,61,,7,3,2,
"Jefes y empleados de oficina (076)",32,32,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",298,23,7,239,10,19,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",8651,,,8102,549,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",129,,37,80,4,8,
"Obreros construc.,conf.,papel, fab., instr. (080)",275,28,93,147,4,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",9115,35,5964,75,,2971,70
"Otra (082)",10,10,,,,,
"Ocupación no especificada (083)",150,7,18,82,4,39,
"Hombres (084)",17031,318,5607,8095,556,2449,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",10,10,,,,,
"Profes., científicos e intelectuales (086)",192,188,,4,,,
"Técnicos de nivel medio y trab. asimilados (087)",38,30,,5,2,1,
"Jefes y empleados de oficina (088)",19,19,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",142,16,2,108,9,7,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",8265,,,7730,535,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",95,,32,55,4,4,
"Obreros construc.,conf.,papel, fab., instr. (092)",274,28,92,147,4,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",7953,14,5474,29,,2430,6
"Otra (094)",10,10,,,,,
"Ocupación no especificada (095)",33,3,7,17,2,4,
"Mujeres (096)",2085,255,512,643,18,593,64
"Profes., científicos e intelectuales (098)",181,179,,2,,,
