"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CONCEPCION (000)",14130,59074,7170,30262,6960,28812
"Casa independiente (001)",13827,57551,7045,29562,6782,27989
"Departamento en edificio (002)",8,26,8,26,,
"Vivienda en quinta (003)",58,398,58,398,,
"Vivienda en casa de vecindad (004)",49,220,49,220,,
"Choza o cabaña (005)",177,822,,,177,822
"Vivienda improvisada (006)",4,14,4,14,,
"Local no dest.para hab. humana (007)",7,43,6,42,1,1
