"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONTUMAZA (000)",29505,1312,3093,3518,2787,4540,4201,6971,3083
"Sabe leer y escribir (001)",24940,,2037,3447,2708,4284,3946,6208,2310
"No sabe leer y escribir (002)",4565,1312,1056,71,79,256,255,763,773
"Hombres (004)",15032,673,1586,1799,1473,2309,2088,3523,1581
"Sabe leer y escribir (005)",13190,,1053,1765,1441,2217,2015,3303,1396
"No sabe leer y escribir (006)",1842,673,533,34,32,92,73,220,185
"Mujeres (008)",14473,639,1507,1719,1314,2231,2113,3448,1502
"Sabe leer y escribir (009)",11750,,984,1682,1267,2067,1931,2905,914
"No sabe leer y escribir (010)",2723,639,523,37,47,164,182,543,588
,,,,,,,,,
"URBANA (012)",12606,480,1117,1410,1219,1910,1900,3268,1302
"Sabe leer y escribir (013)",11359,,868,1400,1203,1877,1843,3085,1083
"No sabe leer y escribir (014)",1247,480,249,10,16,33,57,183,219
"Hombres (016)",6260,251,574,728,621,967,880,1587,652
"Sabe leer y escribir (017)",5752,,454,723,612,951,862,1536,614
"No sabe leer y escribir (018)",508,251,120,5,9,16,18,51,38
"Mujeres (020)",6346,229,543,682,598,943,1020,1681,650
"Sabe leer y escribir (021)",5607,,414,677,591,926,981,1549,469
"No sabe leer y escribir (022)",739,229,129,5,7,17,39,132,181
,,,,,,,,,
"RURAL (024)",16899,832,1976,2108,1568,2630,2301,3703,1781
"Sabe leer y escribir (025)",13581,,1169,2047,1505,2407,2103,3123,1227
"No sabe leer y escribir (026)",3318,832,807,61,63,223,198,580,554
"Hombres (028)",8772,422,1012,1071,852,1342,1208,1936,929
"Sabe leer y escribir (029)",7438,,599,1042,829,1266,1153,1767,782
"No sabe leer y escribir (030)",1334,422,413,29,23,76,55,169,147
"Mujeres (032)",8127,410,964,1037,716,1288,1093,1767,852
"Sabe leer y escribir (033)",6143,,570,1005,676,1141,950,1356,445
"No sabe leer y escribir (034)",1984,410,394,32,40,147,143,411,407
