"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANTA (000)",29854,11733,18121
"Casa independiente (001)",27558,11354,16204
"Departamento en edificio (002)",30,30,
"Vivienda en quinta (003)",128,128,
"Vivienda en casa de vecindad (004)",112,112,
"Choza o cabaña (005)",1901,,1901
"Vivienda improvisada (006)",100,100,
"Local no dest.para hab. humana (007)",21,9,12
"Otro tipo (008)",4,,4
