"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CUSCO (000)",150924,135299,45713,22727,23688,16276,15612,6752,2948,1583,15625,273126
"De 12 a 14 años (001)",11407,11296,11238,46,12,,,,,,111,70
"De 15 a 19 años (002)",20841,20423,19119,1133,132,33,6,,,,418,1520
"De 20 a 24 años (003)",20267,15074,8706,4744,1346,207,54,17,,,5193,8395
"De 25 a 29 años (004)",18144,13358,2763,5585,3505,1121,338,31,15,,4786,17690
"De 30 a 34 años (005)",15736,13767,1307,4141,4774,2197,1148,164,18,18,1969,26581
"De 35 a 39 años (006)",13995,13031,724,2461,4411,2932,1987,422,76,18,964,32142
"De 40 a 44 años (007)",11655,11098,457,1404,3251,2786,2275,667,202,56,557,32669
"De 45 a 49 años (008)",9650,9308,320,987,2326,2223,2184,859,287,122,342,31070
"De 50 y más años (009)",29229,27944,1079,2226,3931,4777,7620,4592,2350,1369,1285,122989
"Sin nivel (010)",7790,7504,433,454,602,733,1877,1673,1037,695,286,39743
"De 12 a 14 años (011)",86,85,85,,,,,,,,1,
"De 15 a 19 años (012)",97,95,81,7,5,1,1,,,,2,24
"De 20 a 24 años (013)",135,111,32,38,26,5,6,4,,,24,159
"De 25 a 29 años (014)",192,167,9,29,51,41,29,5,3,,25,439
"De 30 a 34 años (015)",298,273,15,32,60,49,88,22,6,1,25,888
"De 35 a 39 años (016)",381,361,11,25,48,64,111,75,21,6,20,1532
"De 40 a 44 años (017)",413,396,17,18,28,65,112,87,46,23,17,1968
"De 45 a 49 años (018)",506,492,10,22,36,46,138,134,69,37,14,2692
"De 50 y más años (019)",5682,5524,173,283,348,462,1392,1346,892,628,158,32041
"Educacion Inicial (020)",198,179,100,21,21,18,16,1,2,,19,210
