"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUPACA (000)",20652,52101,47143,,729,90.5,1.4
"De 12 a 14 años (001)",1860,5,4,,,80,
"De 15 a 19 años (002)",2527,274,269,76,98.2,27.7,
"De 20 a 24 años (003)",2254,1394,1353,182,97.1,13.1,
"De 25 a 29 años (004)",1843,2628,2549,158,97,6,
"De 30 a 34 años (005)",1756,3700,3554,153,96.1,4.1,
"De 35 a 39 años (006)",1776,5112,4874,111,95.3,2.2,
"De 40 a 44 años (007)",1606,5648,5313,41,94.1,0.7,
"De 45 a 49 años (008)",1352,5532,5161,8,93.3,0.1,
"De 50 y más años (009)",5678,27808,24066,,86.5,,
"Sin nivel (010)",2206,10757,9007,26,83.7,0.2,
"De 12 a 14 años (011)",8,,,,,,
"De 15 a 19 años (012)",13,4,4,1,100,25,
"De 20 a 24 años (013)",31,37,35,2,94.6,5.4,
"De 25 a 29 años (014)",27,53,52,4,98.1,7.5,
"De 30 a 34 años (015)",48,164,156,7,95.1,4.3,
"De 35 a 39 años (016)",58,221,205,7,92.8,3.2,
"De 40 a 44 años (017)",124,525,483,5,92,1,
"De 45 a 49 años (018)",124,610,544,,89.2,,
"De 50 y más años (019)",1773,9143,7528,,82.3,,
"Educacion Inicial (020)",18,31,31,,100,,
"De 12 a 14 años (021)",5,,,,,,
"De 20 a 24 años (023)",2,1,1,,100,,
"De 25 a 29 años (024)",4,9,9,,100,,
"De 30 a 34 años (025)",3,9,9,,100,,
"De 35 a 39 años (026)",4,12,12,,100,,
"Primaria (030)",6320,24436,21905,180,89.6,0.7,
"De 12 a 14 años (031)",577,1,1,,100,,
"De 15 a 19 años (032)",180,66,63,16,95.5,24.2,
"De 20 a 24 años (033)",194,245,231,20,94.3,8.2,
"De 25 a 29 años (034)",299,690,663,37,96.1,5.4,
"De 30 a 34 años (035)",383,1141,1068,37,93.6,3.2,
"De 35 a 39 años (036)",551,2045,1924,40,94.1,2,
"De 40 a 44 años (037)",628,2622,2437,23,92.9,0.9,
"De 45 a 49 años (038)",608,2830,2602,7,91.9,0.2,
"De 50 y más años (039)",2900,14796,12916,,87.3,,
"Secundaria (040)",8137,12505,11963,357,95.7,2.9,
"De 12 a 14 años (041)",1270,4,3,,75,,
