"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,4599,24,640,679,689,1231,838,394,104,181,19346
"De 12 a 14 años (001)",14,5,,4,1,,,,,,9,6
"De 15 a 19 años (002)",161,124,4,97,17,5,1,,,,37,150
"De 20 a 24 años (003)",488,455,2,222,156,58,16,1,,,33,780
"De 25 a 29 años (004)",541,508,2,106,157,140,92,9,2,,33,1300
"De 30 a 34 años (005)",646,627,3,67,108,150,225,62,10,2,19,2225
"De 35 a 39 años (006)",605,594,,32,61,86,239,136,35,5,11,2675
"De 40 a 44 años (007)",483,476,2,17,33,50,156,142,62,14,7,2509
"De 45 a 49 años (008)",357,354,,16,19,22,93,112,66,26,3,2115
"De 50 y más años (009)",1485,1456,11,79,127,178,409,376,219,57,29,7586
"Conviviente (010)",1949,1888,10,330,354,307,488,271,100,28,61,7003
"De 12 a 14 años (011)",8,,,,,,,,,,8,
"De 15 a 19 años (012)",115,83,4,62,13,3,1,,,,32,101
"De 20 a 24 años (013)",311,304,1,139,113,41,10,,,,7,530
"De 25 a 29 años (014)",336,330,1,64,99,95,62,7,2,,6,868
"De 30 a 34 años (015)",361,360,2,27,57,80,146,41,5,2,1,1355
"De 35 a 39 años (016)",282,280,,14,26,33,119,66,18,4,2,1302
"De 40 a 44 años (017)",183,183,,7,12,17,62,51,27,7,,986
"De 45 a 49 años (018)",113,113,,3,7,4,27,42,20,10,,703
"De 50 y más años (019)",240,235,2,14,27,34,61,64,28,5,5,1158
"Separado(a) (020)",214,211,,59,52,39,37,17,6,1,3,611
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",8,7,,6,1,,,,,,1,8
"De 20 a 24 años (023)",32,31,,23,5,1,1,1,,,1,46
