"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SANDIA (000)",26380,1586,2512,14784,654,6728,116
"Sin nivel (001)",2893,4,120,1822,47,892,8
"Educación inicial (002)",18,,3,9,,6,
"Primaria (003)",10532,38,794,6649,331,2680,40
"Secundaria (004)",10541,240,1435,5590,253,2962,61
"Superior no univ. incompleta (005)",528,116,67,265,10,66,4
"Superior no univ. completa (006)",706,449,34,159,6,56,2
"Superior univ. incompleta (007)",289,80,33,128,2,46,
"Superior univ. completa (008)",873,659,26,162,5,20,1
"Hombres (010)",16910,1048,2139,10811,530,2351,31
"Sin nivel (011)",1019,3,83,852,20,61,
"Educación inicial (012)",9,,2,4,,3,
"Primaria (013)",6486,22,613,4956,265,622,8
"Secundaria (014)",7685,154,1288,4458,222,1544,19
"Superior no univ. incompleta (015)",393,80,62,200,10,39,2
"Superior no univ. completa (016)",459,277,34,110,6,31,1
"Superior univ. incompleta (017)",242,62,33,109,2,36,
"Superior univ. completa (018)",617,450,24,122,5,15,1
"Mujeres (020)",9470,538,373,3973,124,4377,85
"Sin nivel (021)",1874,1,37,970,27,831,8
"Educación inicial (022)",9,,1,5,,3,
"Primaria (023)",4046,16,181,1693,66,2058,32
"Secundaria (024)",2856,86,147,1132,31,1418,42
"Superior no univ. incompleta (025)",135,36,5,65,,27,2
"Superior no univ. completa (026)",247,172,,49,,25,1
"Superior univ. incompleta (027)",47,18,,19,,10,
"Superior univ. completa (028)",256,209,2,40,,5,
,,,,,,,
"URBANA (030)",6229,1163,639,3241,79,1058,49
"Sin nivel (031)",549,2,36,381,3,123,4
"Educación inicial (032)",3,,,1,,2,
"Primaria (033)",1776,22,155,1205,32,355,7
"Secundaria (034)",2453,174,372,1314,39,520,34
"Superior no univ. incompleta (035)",264,79,37,125,2,18,3
"Superior no univ. completa (036)",428,319,16,71,,22,
"Superior univ. incompleta (037)",138,63,11,51,,13,
"Superior univ. completa (038)",618,504,12,93,3,5,1
"Hombres (040)",3698,749,575,1899,58,409,8
"Sin nivel (041)",180,1,25,145,1,8,
"Primaria (043)",947,13,129,683,22,99,1
"Secundaria (044)",1609,112,346,852,30,265,4
"Superior no univ. incompleta (045)",189,56,36,82,2,11,2
"Superior no univ. completa (046)",254,183,16,41,,14,
"Superior univ. incompleta (047)",103,47,11,36,,9,
"Superior univ. completa (048)",416,337,12,60,3,3,1
"Mujeres (050)",2531,414,64,1342,21,649,41
"Sin nivel (051)",369,1,11,236,2,115,4
"Educación inicial (052)",3,,,1,,2,
"Primaria (053)",829,9,26,522,10,256,6
"Secundaria (054)",844,62,26,462,9,255,30
"Superior no univ. incompleta (055)",75,23,1,43,,7,1
"Superior no univ. completa (056)",174,136,,30,,8,
"Superior univ. incompleta (057)",35,16,,15,,4,
"Superior univ. completa (058)",202,167,,33,,2,
,,,,,,,
"RURAL (060)",20151,423,1873,11543,575,5670,67
"Sin nivel (061)",2344,2,84,1441,44,769,4
"Educación inicial (062)",15,,3,8,,4,
"Primaria (063)",8756,16,639,5444,299,2325,33
"Secundaria (064)",8088,66,1063,4276,214,2442,27
"Superior no univ. incompleta (065)",264,37,30,140,8,48,1
"Superior no univ. completa (066)",278,130,18,88,6,34,2
"Superior univ. incompleta (067)",151,17,22,77,2,33,
"Superior univ. completa (068)",255,155,14,69,2,15,
"Hombres (070)",13212,299,1564,8912,472,1942,23
"Sin nivel (071)",839,2,58,707,19,53,
"Educación inicial (072)",9,,2,4,,3,
"Primaria (073)",5539,9,484,4273,243,523,7
"Secundaria (074)",6076,42,942,3606,192,1279,15
"Superior no univ. incompleta (075)",204,24,26,118,8,28,
"Superior no univ. completa (076)",205,94,18,69,6,17,1
"Superior univ. incompleta (077)",139,15,22,73,2,27,
"Superior univ. completa (078)",201,113,12,62,2,12,
"Mujeres (080)",6939,124,309,2631,103,3728,44
"Sin nivel (081)",1505,,26,734,25,716,4
"Educación inicial (082)",6,,1,4,,1,
"Primaria (083)",3217,7,155,1171,56,1802,26
"Secundaria (084)",2012,24,121,670,22,1163,12
"Superior no univ. incompleta (085)",60,13,4,22,,20,1
"Superior no univ. completa (086)",73,36,,19,,17,1
"Superior univ. incompleta (087)",12,2,,4,,6,
"Superior univ. completa (088)",54,42,2,7,,3,
