"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",6801,26354,2273,8560,4528,17794
"Casa independiente (001)",6744,26147,2248,8460,4496,17687
"Vivienda en quinta (003)",18,69,18,69,,
"Vivienda en casa de vecindad (004)",2,16,2,16,,
"Choza o cabaña (005)",30,94,,,30,94
"Vivienda improvisada (006)",2,7,2,7,,
"Local no dest.para hab. humana (007)",3,13,2,4,1,9
"Otro tipo (008)",2,8,1,4,1,4
