"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,26976,23378,,481,86.7,1.8
"De 12 a 14 años (001)",917,,,,,,
"De 15 a 19 años (002)",1158,147,145,47,98.6,32,
"De 20 a 24 años (003)",902,938,909,136,96.9,14.5,
"De 25 a 29 años (004)",704,1472,1416,100,96.2,6.8,
"De 30 a 34 años (005)",711,2289,2145,87,93.7,3.8,
"De 35 a 39 años (006)",610,2637,2425,62,92,2.4,
"De 40 a 44 años (007)",548,2863,2596,35,90.7,1.2,
"De 45 a 49 años (008)",512,3141,2771,14,88.2,0.4,
"De 50 y más años (009)",2259,13489,10971,,81.3,,
"Sin nivel (010)",3421,18258,15251,152,83.5,0.8,
"De 12 a 14 años (011)",13,,,,,,
"De 15 a 19 años (012)",58,12,12,3,100,25,
"De 20 a 24 años (013)",131,183,173,21,94.5,11.5,
"De 25 a 29 años (014)",157,411,395,22,96.1,5.4,
"De 30 a 34 años (015)",302,1127,1024,42,90.9,3.7,
"De 35 a 39 años (016)",298,1429,1292,31,90.4,2.2,
"De 40 a 44 años (017)",307,1751,1561,22,89.1,1.3,
"De 45 a 49 años (018)",322,2132,1830,11,85.8,0.5,
"De 50 y más años (019)",1833,11213,8964,,79.9,,
"Educacion Inicial (020)",43,76,74,5,97.4,6.6,
"De 12 a 14 años (021)",14,,,,,,
"De 15 a 19 años (022)",1,1,1,,100,,
"De 20 a 24 años (023)",9,11,10,3,90.9,27.3,
"De 25 a 29 años (024)",8,28,27,1,96.4,3.6,
"De 30 a 34 años (025)",6,22,22,1,100,4.5,
"De 35 a 39 años (026)",5,14,14,,100,,
"Primaria (030)",2269,5685,5212,161,91.7,2.8,
"De 12 a 14 años (031)",545,,,,,,
"De 15 a 19 años (032)",311,67,65,21,97,31.3,
"De 20 a 24 años (033)",264,370,358,50,96.8,13.5,
"De 25 a 29 años (034)",234,563,541,41,96.1,7.3,
"De 30 a 34 años (035)",190,659,624,26,94.7,3.9,
"De 35 a 39 años (036)",148,701,652,11,93,1.6,
"De 40 a 44 años (037)",141,753,693,11,92,1.5,
"De 45 a 49 años (038)",116,709,655,1,92.4,0.1,
"De 50 y más años (039)",320,1863,1624,,87.2,,
"Secundaria (040)",1789,1504,1442,120,95.9,8,
