"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PASCO (000)",141801,5880,14708,17674,16539,29642,22519,28438,6401
"Sabe leer y escribir (001)",126583,,11897,17570,16429,29321,21970,25608,3788
"No sabe leer y escribir (002)",15218,5880,2811,104,110,321,549,2830,2613
"Hombres (004)",72270,2978,7555,9012,8288,15116,11670,14684,2967
"Sabe leer y escribir (005)",66370,,6092,8963,8238,15025,11527,14118,2407
"No sabe leer y escribir (006)",5900,2978,1463,49,50,91,143,566,560
"Mujeres (008)",69531,2902,7153,8662,8251,14526,10849,13754,3434
"Sabe leer y escribir (009)",60213,,5805,8607,8191,14296,10443,11490,1381
"No sabe leer y escribir (010)",9318,2902,1348,55,60,230,406,2264,2053
,,,,,,,,,
"URBANA (012)",107999,4432,11023,13328,12475,22514,17561,22073,4593
"Sabe leer y escribir (013)",97763,,9113,13264,12406,22339,17279,20424,2938
"No sabe leer y escribir (014)",10236,4432,1910,64,69,175,282,1649,1655
"Hombres (016)",54317,2264,5668,6732,6216,11242,8875,11242,2078
"Sabe leer y escribir (017)",50332,,4653,6706,6183,11191,8807,10981,1811
"No sabe leer y escribir (018)",3985,2264,1015,26,33,51,68,261,267
"Mujeres (020)",53682,2168,5355,6596,6259,11272,8686,10831,2515
"Sabe leer y escribir (021)",47431,,4460,6558,6223,11148,8472,9443,1127
"No sabe leer y escribir (022)",6251,2168,895,38,36,124,214,1388,1388
,,,,,,,,,
"RURAL (024)",33802,1448,3685,4346,4064,7128,4958,6365,1808
"Sabe leer y escribir (025)",28820,,2784,4306,4023,6982,4691,5184,850
"No sabe leer y escribir (026)",4982,1448,901,40,41,146,267,1181,958
"Hombres (028)",17953,714,1887,2280,2072,3874,2795,3442,889
"Sabe leer y escribir (029)",16038,,1439,2257,2055,3834,2720,3137,596
"No sabe leer y escribir (030)",1915,714,448,23,17,40,75,305,293
"Mujeres (032)",15849,734,1798,2066,1992,3254,2163,2923,919
"Sabe leer y escribir (033)",12782,,1345,2049,1968,3148,1971,2047,254
"No sabe leer y escribir (034)",3067,734,453,17,24,106,192,876,665
