"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OTUZCO (000)",82690,4118,10054,11583,8470,13261,11462,16959,6783
"Sabe leer y escribir (001)",65832,,6513,11288,8173,12401,10280,13264,3913
"No sabe leer y escribir (002)",16858,4118,3541,295,297,860,1182,3695,2870
"Hombres (004)",41646,2049,5036,6002,4374,6675,5744,8495,3271
"Sabe leer y escribir (005)",35450,,3289,5878,4259,6432,5432,7626,2534
"No sabe leer y escribir (006)",6196,2049,1747,124,115,243,312,869,737
"Mujeres (008)",41044,2069,5018,5581,4096,6586,5718,8464,3512
"Sabe leer y escribir (009)",30382,,3224,5410,3914,5969,4848,5638,1379
"No sabe leer y escribir (010)",10662,2069,1794,171,182,617,870,2826,2133
,,,,,,,,,
"URBANA (012)",20025,799,2031,2596,1982,3115,2975,4629,1898
"Sabe leer y escribir (013)",17299,,1559,2562,1942,3014,2837,4042,1343
"No sabe leer y escribir (014)",2726,799,472,34,40,101,138,587,555
"Hombres (016)",9766,392,1004,1351,995,1512,1420,2222,870
"Sabe leer y escribir (017)",8800,,759,1337,973,1483,1384,2102,762
"No sabe leer y escribir (018)",966,392,245,14,22,29,36,120,108
"Mujeres (020)",10259,407,1027,1245,987,1603,1555,2407,1028
"Sabe leer y escribir (021)",8499,,800,1225,969,1531,1453,1940,581
"No sabe leer y escribir (022)",1760,407,227,20,18,72,102,467,447
,,,,,,,,,
"RURAL (024)",62665,3319,8023,8987,6488,10146,8487,12330,4885
"Sabe leer y escribir (025)",48533,,4954,8726,6231,9387,7443,9222,2570
"No sabe leer y escribir (026)",14132,3319,3069,261,257,759,1044,3108,2315
"Hombres (028)",31880,1657,4032,4651,3379,5163,4324,6273,2401
"Sabe leer y escribir (029)",26650,,2530,4541,3286,4949,4048,5524,1772
"No sabe leer y escribir (030)",5230,1657,1502,110,93,214,276,749,629
"Mujeres (032)",30785,1662,3991,4336,3109,4983,4163,6057,2484
"Sabe leer y escribir (033)",21883,,2424,4185,2945,4438,3395,3698,798
"No sabe leer y escribir (034)",8902,1662,1567,151,164,545,768,2359,1686
