"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUALLAGA (000)",9304,390,12,5218,2674,202,410,85,313
"Agric., ganadería, caza y silvicultura (001)",6824,340,10,4525,1803,64,46,15,21
"Pesca (002)",2,,,1,1,,,,
"Explotación de minas y canteras (003)",1,,,,1,,,,
"Industrias manufactureras (004)",165,,,51,86,12,11,,5
"Suministro de electricidad, gas y agua (005)",9,,,,6,,2,,1
"Construcción (006)",102,1,,37,48,6,9,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",514,6,1,165,230,31,39,9,33
"Venta, mant.y rep. veh.autom.y motoc. (008)",60,,,7,33,4,7,2,7
"Comercio al por mayor (009)",36,1,,7,14,2,5,2,5
"Comercio al por menor (010)",418,5,1,151,183,25,27,5,21
"Hoteles y restaurantes (011)",155,4,,50,78,7,11,3,2
"Trans., almac. y comunicaciones (012)",254,,,57,144,17,25,8,3
"Intermediación financiera (013)",6,,,,3,,2,,1
"Activid.inmobil., empres. y de alquiler (014)",54,,,6,14,5,10,3,16
"Admin.pub. y defensa; p. segur.soc.afil (015)",157,,,5,53,17,44,12,26
"Enseñanza (016)",364,,,,17,19,150,24,154
"Servicios sociales y de salud (017)",104,,,4,8,4,46,6,36
"Otras activ. serv.comun.soc y personales (018)",61,,,22,21,4,5,4,5
"Hogares privados con servicio doméstico (019)",324,24,1,185,103,7,3,,1
"Actividad economica no especificada (021)",208,15,,110,58,9,7,1,8
"Hombres (022)",7257,252,10,4197,2166,149,242,55,186
"Agric., ganadería, caza y silvicultura (023)",5983,247,9,3940,1649,59,45,14,20
"Pesca (024)",2,,,1,1,,,,
"Explotación de minas y canteras (025)",1,,,,1,,,,
"Industrias manufactureras (026)",125,,,38,65,11,7,,4
"Suministro de electricidad, gas y agua (027)",9,,,,6,,2,,1
"Construcción (028)",99,1,,36,47,6,8,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",290,,1,82,142,19,24,5,17
"Venta, mant.y rep. veh.autom.y motoc. (030)",51,,,6,27,3,7,2,6
"Comercio al por mayor (031)",19,,,5,6,1,3,1,3
"Comercio al por menor (032)",220,,1,71,109,15,14,2,8
"Hoteles y restaurantes (033)",22,,,6,9,2,3,1,1
"Trans., almac. y comunicaciones (034)",236,,,55,138,15,18,7,3
"Intermediación financiera (035)",4,,,,2,,2,,
"Activid.inmobil., empres. y de alquiler (036)",42,,,3,10,5,8,3,13
"Admin.pub. y defensa; p. segur.soc.afil (037)",108,,,4,36,13,31,8,16
"Enseñanza (038)",190,,,,7,11,74,12,86
"Servicios sociales y de salud (039)",36,,,,4,,14,3,15
"Otras activ. serv.comun.soc y personales (040)",39,,,8,17,4,3,2,5
"Hogares privados con servicio doméstico (041)",14,3,,5,6,,,,
"Actividad economica no especificada (043)",57,1,,19,26,4,3,,4
"Mujeres (044)",2047,138,2,1021,508,53,168,30,127
"Agric., ganadería, caza y silvicultura (045)",841,93,1,585,154,5,1,1,1
"Industrias manufactureras (048)",40,,,13,21,1,4,,1
"Construcción (050)",3,,,1,1,,1,,
