"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia UTCUBAMBA (000)",32239,13704,18535
"Casa independiente (001)",30392,12730,17662
"Departamento en edificio (002)",82,82,
"Vivienda en quinta (003)",654,654,
"Vivienda en casa de vecindad (004)",189,189,
"Choza o cabaña (005)",868,,868
"Vivienda improvisada (006)",30,30,
"Local no dest.para hab. humana (007)",22,17,5
"Otro tipo (008)",2,2,
