"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia FERREÑAFE (000)",89529,4634,10852,12072,9570,14558,12372,19550,5921
"Sin nivel (001)",15990,4634,1593,284,302,984,1511,4224,2458
"Educación inicial (002)",3001,,2654,191,37,64,55,,
"Primaria (003)",33681,,6605,8144,2030,3777,3773,6880,2472
"Secundaria (004)",24352,,,3453,6146,5664,3896,4719,474
"Superior no univ. incompleto (005)",3313,,,,671,1246,662,671,63
"Superior no univ. completo (006)",4785,,,,,1375,1507,1670,233
"Superior univ. incompleto (007)",1728,,,,384,828,232,254,30
"Superior univ. completo (008)",2679,,,,,620,736,1132,191
"Hombres (010)",44282,2390,5415,6258,4932,7025,5753,9510,2999
"Sin nivel (011)",5922,2390,742,120,94,217,343,1118,898
"Educación inicial (012)",1462,,1301,97,21,23,20,,
"Primaria (013)",16961,,3372,4238,950,1631,1694,3571,1505
"Secundaria (014)",13583,,,1803,3326,3114,2199,2834,307
"Superior no univ. incompleto (015)",1726,,,,341,643,335,373,34
"Superior no univ. completo (016)",2222,,,,,661,657,788,116
"Superior univ. incompleto (017)",931,,,,200,438,123,149,21
"Superior univ. completo (018)",1475,,,,,298,382,677,118
"Mujeres (020)",45247,2244,5437,5814,4638,7533,6619,10040,2922
"Sin nivel (021)",10068,2244,851,164,208,767,1168,3106,1560
"Educación inicial (022)",1539,,1353,94,16,41,35,,
"Primaria (023)",16720,,3233,3906,1080,2146,2079,3309,967
"Secundaria (024)",10769,,,1650,2820,2550,1697,1885,167
"Superior no univ. incompleto (025)",1587,,,,330,603,327,298,29
"Superior no univ. completo (026)",2563,,,,,714,850,882,117
"Superior univ. incompleto (027)",797,,,,184,390,109,105,9
"Superior univ. completo (028)",1204,,,,,322,354,455,73
,,,,,,,,,
"URBANA (030)",48695,2050,4855,6190,5325,7953,7088,11610,3624
"Sin nivel (031)",5084,2050,503,80,82,169,307,974,919
"Educación inicial (032)",1307,,1220,50,13,14,10,,
"Primaria (033)",15217,,3132,3810,599,1061,1360,3464,1791
"Secundaria (034)",16092,,,2250,3732,3283,2651,3757,419
