"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CELENDIN (000)",24922,2755,3354,13468,334,2923,693,1395
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,51,,,3,,,
"Profes., científicos e intelectuales (002)",1780,1624,,145,2,9,,
"Técnicos de nivel medio y trab. asimilados (003)",304,178,,104,14,7,1,
"Jefes y empleados de oficina (004)",300,298,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1480,190,7,1087,19,177,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9933,,,9701,232,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1365,,230,1005,22,108,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1119,92,311,675,22,19,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",6387,203,2652,353,2,2485,692,
"Otra (010)",29,29,,,,,,
"Ocupación no especificada (011)",776,90,154,397,18,117,,
"Desocupado (012)",1395,,,,,,,1395
"Hombres (013)",18926,1453,2873,11013,287,2242,26,1032
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",45,43,,,2,,,
"Profes., científicos e intelectuales (015)",889,806,,74,2,7,,
"Técnicos de nivel medio y trab. asimilados (016)",202,110,,77,10,5,,
"Jefes y empleados de oficina (017)",157,156,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",545,74,4,430,9,28,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",9586,,,9366,220,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",561,,151,369,16,25,,
"Obreros construc.,conf.,papel, fab., instr. (021)",827,89,300,406,21,11,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",4751,100,2310,172,1,2142,26,
"Otra (023)",28,28,,,,,,
"Ocupación no especificada (024)",303,47,108,118,6,24,,
"Desocupado (025)",1032,,,,,,,1032
"Mujeres (026)",5996,1302,481,2455,47,681,667,363
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,8,,,1,,,
"Profes., científicos e intelectuales (028)",891,818,,71,,2,,
"Técnicos de nivel medio y trab. asimilados (029)",102,68,,27,4,2,1,
"Jefes y empleados de oficina (030)",143,142,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",935,116,3,657,10,149,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",347,,,335,12,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",804,,79,636,6,83,,
"Obreros construc.,conf.,papel, fab., instr. (034)",292,3,11,269,1,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1636,103,342,181,1,343,666,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",473,43,46,279,12,93,,
"Desocupado (038)",363,,,,,,,363
,,,,,,,,
"URBANA (039)",7560,2285,906,3134,84,390,313,448
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",40,37,,,3,,,
"Profes., científicos e intelectuales (041)",1494,1367,,121,2,4,,
"Técnicos de nivel medio y trab. asimilados (042)",249,138,,92,12,6,1,
"Jefes y empleados de oficina (043)",272,270,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1152,160,4,833,13,142,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",886,,,873,13,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",668,,130,493,16,29,,
"Obreros construc.,conf.,papel, fab., instr. (047)",702,80,228,374,15,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",1409,153,516,247,2,179,312,
"Otra (049)",28,28,,,,,,
"Ocupación no especificada (050)",212,52,28,100,8,24,,
"Desocupado (051)",448,,,,,,,448
"Hombres (052)",4619,1174,805,2042,59,215,8,316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",32,30,,,2,,,
"Profes., científicos e intelectuales (054)",733,659,,69,2,3,,
"Técnicos de nivel medio y trab. asimilados (055)",165,85,,68,8,4,,
"Jefes y empleados de oficina (056)",136,135,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",438,64,3,344,6,21,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",837,,,827,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",417,,100,284,13,20,,
"Obreros construc.,conf.,papel, fab., instr. (060)",637,77,222,319,14,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",786,70,456,99,1,152,8,
"Otra (062)",27,27,,,,,,
"Ocupación no especificada (063)",95,27,24,31,3,10,,
"Desocupado (064)",316,,,,,,,316
"Mujeres (065)",2941,1111,101,1092,25,175,305,132
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",8,7,,,1,,,
"Profes., científicos e intelectuales (067)",761,708,,52,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",84,53,,24,4,2,1,
"Jefes y empleados de oficina (069)",136,135,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",714,96,1,489,7,121,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",49,,,46,3,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",251,,30,209,3,9,,
"Obreros construc.,conf.,papel, fab., instr. (073)",65,3,6,55,1,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",623,83,60,148,1,27,304,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",117,25,4,69,5,14,,
"Desocupado (077)",132,,,,,,,132
,,,,,,,,
"RURAL (078)",17362,470,2448,10334,250,2533,380,947
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",14,14,,,,,,
"Profes., científicos e intelectuales (080)",286,257,,24,,5,,
"Técnicos de nivel medio y trab. asimilados (081)",55,40,,12,2,1,,
"Jefes y empleados de oficina (082)",28,28,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",328,30,3,254,6,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",9047,,,8828,219,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",697,,100,512,6,79,,
"Obreros construc.,conf.,papel, fab., instr. (086)",417,12,83,301,7,14,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",4978,50,2136,106,,2306,380,
"Otra (088)",1,1,,,,,,
"Ocupación no especificada (089)",564,38,126,297,10,93,,
"Desocupado (090)",947,,,,,,,947
"Hombres (091)",14307,279,2068,8971,228,2027,18,716
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",13,13,,,,,,
"Profes., científicos e intelectuales (093)",156,147,,5,,4,,
"Técnicos de nivel medio y trab. asimilados (094)",37,25,,9,2,1,,
"Jefes y empleados de oficina (095)",21,21,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",107,10,1,86,3,7,,
