"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia JORGE BASADRE (000)",2359,17,43,135,298,452,749,665
"De 12 a 14 años (001)",2,,,,,,,2
"De 15 a 19 años (002)",46,,,,,,25,21
"De 20 a 24 años (003)",242,,,,,4,135,103
"De 25 a 29 años (004)",346,,,,,16,186,144
"De 30 a 34 años (005)",332,,,,,51,183,98
"De 35 a 39 años (006)",304,,,,9,102,127,66
"De 40 a 44 años (007)",256,,,1,34,107,71,43
"De 45 a 49 años (008)",215,,,1,63,95,13,43
"De 50 y más años (009)",616,17,43,133,192,77,9,145
"Sin nivel (010)",308,12,19,56,53,60,32,76
"De 15 a 19 años (012)",1,,,,,,1,
"De 20 a 24 años (013)",4,,,,,,2,2
"De 30 a 34 años (015)",26,,,,,7,15,4
"De 35 a 39 años (016)",22,,,,,8,8,6
"De 40 a 44 años (017)",19,,,,1,10,4,4
"De 45 a 49 años (018)",28,,,1,5,19,1,2
"De 50 y más años (019)",208,12,19,55,47,16,1,58
"Educacion Inicial (020)",1,,,,,,1,
"De 30 a 34 años (025)",1,,,,,,1,
"Primaria (030)",542,5,17,43,114,129,118,116
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",2,,,,,,2,
"De 20 a 24 años (033)",18,,,,,,15,3
"De 25 a 29 años (034)",39,,,,,2,27,10
"De 30 a 34 años (035)",59,,,,,10,33,16
"De 35 a 39 años (036)",77,,,,3,36,21,17
"De 40 a 44 años (037)",65,,,,12,26,16,11
"De 45 a 49 años (038)",61,,,,15,28,3,15
"De 50 y más años (039)",220,5,17,43,84,27,1,43
"Secundaria (040)",742,,4,12,72,133,309,212
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",38,,,,,,18,20
"De 20 a 24 años (043)",130,,,,,3,80,47
"De 25 a 29 años (044)",170,,,,,9,97,64
"De 30 a 34 años (045)",105,,,,,23,53,29
"De 35 a 39 años (046)",101,,,,6,37,43,15
"De 40 a 44 años (047)",69,,,,12,29,15,13
"De 45 a 49 años (048)",58,,,,28,19,2,9
"De 50 y más años (049)",70,,4,12,26,13,1,14
"Sup. no Univ. incompleta (050)",146,,1,5,15,25,58,42
"De 15 a 19 años (052)",2,,,,,,2,
"De 20 a 24 años (053)",33,,,,,1,18,14
"De 25 a 29 años (054)",26,,,,,1,13,12
"De 30 a 34 años (055)",27,,,,,3,15,9
"De 35 a 39 años (056)",12,,,,,3,5,4
"De 40 a 44 años (057)",20,,,,5,10,4,1
"De 45 a 49 años (058)",9,,,,1,5,1,2
"De 50 y más años (059)",17,,1,5,9,2,,
