"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia GRAU (000)",377,3,189,124,48,13
"Sin nivel (001)",19,,1,10,5,3
"Primaria (003)",98,3,30,38,18,9
"Secundaria (004)",185,,117,47,20,1
"Superior no univ. incompleta (005)",19,,10,8,1,
"Superior no univ. completa (006)",35,,20,13,2,
"Superior univ. incompleta (007)",7,,4,2,1,
"Superior univ. completa (008)",14,,7,6,1,
"Hombres (010)",306,2,140,105,46,13
"Sin nivel (011)",16,,1,7,5,3
"Primaria (013)",85,2,25,31,18,9
"Secundaria (014)",148,,88,41,18,1
"Superior no univ. incompleta (015)",14,,5,8,1,
"Superior no univ. completa (016)",29,,15,12,2,
"Superior univ. incompleta (017)",4,,2,1,1,
"Superior univ. completa (018)",10,,4,5,1,
"Mujeres (020)",71,1,49,19,2,
"Sin nivel (021)",3,,,3,,
"Primaria (023)",13,1,5,7,,
"Secundaria (024)",37,,29,6,2,
"Superior no univ. incompleta (025)",5,,5,,,
"Superior no univ. completa (026)",6,,5,1,,
"Superior univ. incompleta (027)",3,,2,1,,
"Superior univ. completa (028)",4,,3,1,,
,,,,,,
"Area Urbana (030)",182,3,88,59,25,7
"Sin nivel (031)",5,,1,2,1,1
"Primaria (033)",42,3,9,15,10,5
"Secundaria (034)",77,,44,22,10,1
"Superior no univ. incompleta (035)",14,,7,6,1,
"Superior no univ. completa (036)",28,,17,9,2,
"Superior univ. incompleta (037)",5,,4,1,,
"Superior univ. completa (038)",11,,6,4,1,
"Hombres (040)",143,2,59,50,25,7
"Sin nivel (041)",4,,1,1,1,1
"Primaria (043)",36,2,7,12,10,5
"Secundaria (044)",58,,28,19,10,1
"Superior no univ. incompleta (045)",11,,4,6,1,
"Superior no univ. completa (046)",23,,13,8,2,
"Superior univ. incompleta (047)",2,,2,,,
"Superior univ. completa (048)",9,,4,4,1,
"Mujeres (050)",39,1,29,9,,
"Sin nivel (051)",1,,,1,,
"Primaria (053)",6,1,2,3,,
"Secundaria (054)",19,,16,3,,
"Superior no univ. incompleta (055)",3,,3,,,
"Superior no univ. completa (056)",5,,4,1,,
"Superior univ. incompleta (057)",3,,2,1,,
"Superior univ. completa (058)",2,,2,,,
,,,,,,
"Area Rural (060)",195,,101,65,23,6
"Sin nivel (061)",14,,,8,4,2
"Primaria (063)",56,,21,23,8,4
"Secundaria (064)",108,,73,25,10,
"Superior no univ. incompleta (065)",5,,3,2,,
"Superior no univ. completa (066)",7,,3,4,,
"Superior univ. incompleta (067)",2,,,1,1,
"Superior univ. completa (068)",3,,1,2,,
"Hombres (070)",163,,81,55,21,6
"Sin nivel (071)",12,,,6,4,2
"Primaria (073)",49,,18,19,8,4
"Secundaria (074)",90,,60,22,8,
"Superior no univ. incompleta (075)",3,,1,2,,
"Superior no univ. completa (076)",6,,2,4,,
"Superior univ. incompleta (077)",2,,,1,1,
"Superior univ. completa (078)",1,,,1,,
"Mujeres (080)",32,,20,10,2,
"Sin nivel (081)",2,,,2,,
"Primaria (083)",7,,3,4,,
"Secundaria (084)",18,,13,3,2,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. completa (088)",2,,1,1,,
