"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANDAHUAYLAS (000)",42292,32977,4146,2283,2886
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",96,,12,9,75
"Profes., científicos e intelectuales (002)",3989,890,874,1212,1013
"Técnicos de nivel medio y trab. asimilados (003)",869,400,85,89,295
"Jefes y empleados de oficina (004)",903,154,84,96,569
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3989,3655,202,68,64
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10213,9458,726,26,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1690,1444,146,31,69
"Obreros construc.,conf.,papel, fab., instr. (008)",2150,1629,257,124,140
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",17122,14509,1665,561,387
"Otra (010)",238,,,,238
"Ocupación no especificada (011)",1033,838,95,67,33
"Hombres (012)",28173,21879,3097,1380,1817
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",79,,11,7,61
"Profes., científicos e intelectuales (014)",2123,467,510,630,516
"Técnicos de nivel medio y trab. asimilados (015)",529,274,64,53,138
"Jefes y empleados de oficina (016)",521,71,47,46,357
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1359,1189,93,38,39
"Agricult.trabaj.calif.agrop.y pesqueros (018)",8498,7832,639,24,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1398,1187,125,22,64
"Obreros construc.,conf.,papel, fab., instr. (020)",2101,1605,255,114,127
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",10838,8880,1290,406,262
"Otra (022)",228,,,,228
"Ocupación no especificada (023)",499,374,63,40,22
"Mujeres (024)",14119,11098,1049,903,1069
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,,1,2,14
"Profes., científicos e intelectuales (026)",1866,423,364,582,497
"Técnicos de nivel medio y trab. asimilados (027)",340,126,21,36,157
"Jefes y empleados de oficina (028)",382,83,37,50,212
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2630,2466,109,30,25
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1715,1626,87,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",292,257,21,9,5
"Obreros construc.,conf.,papel, fab., instr. (032)",49,24,2,10,13
