"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTA (000)",97301,87925,9376
"Casa independiente (001)",90952,82378,8574
"Departamento en edificio (002)",1038,1038,
"Vivienda en quinta (003)",547,547,
"Vivienda en casa de vecindad (004)",426,426,
"Choza o cabaña (005)",799,,799
"Vivienda improvisada (006)",3405,3405,
"Local no dest.para hab. humana (007)",125,122,3
"Otro tipo (008)",9,9,
