"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANDIA (000)",29362,5609,23753
"Casa independiente (001)",24730,4931,19799
"Vivienda en quinta (003)",11,11,
"Vivienda en casa de vecindad (004)",565,565,
"Choza o cabaña (005)",3926,,3926
"Vivienda improvisada (006)",89,89,
"Local no dest.para hab. humana (007)",20,8,12
"Otro tipo (008)",21,5,16
