"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",2139,55,1049,583,376,76
"Sin nivel (001)",133,8,28,37,37,23
"Educación inicial (002)",3,,3,,,
"Primaria (003)",584,34,192,159,163,36
"Secundaria (004)",884,13,531,202,128,10
"Superior no univ. incompleta (005)",133,,83,38,11,1
"Superior no univ. completa (006)",212,,108,90,13,1
"Superior univ. incompleta (007)",59,,47,7,4,1
"Superior univ. completa (008)",131,,57,50,20,4
"Hombres (010)",1627,39,722,449,343,74
"Sin nivel (011)",107,5,19,29,31,23
"Educación inicial (012)",1,,1,,,
"Primaria (013)",498,22,151,137,153,35
"Secundaria (014)",707,12,391,176,119,9
"Superior no univ. incompleta (015)",78,,48,18,11,1
"Superior no univ. completa (016)",126,,56,60,9,1
"Superior univ. incompleta (017)",40,,30,5,4,1
"Superior univ. completa (018)",70,,26,24,16,4
"Mujeres (020)",512,16,327,134,33,2
"Sin nivel (021)",26,3,9,8,6,
"Educación inicial (022)",2,,2,,,
"Primaria (023)",86,12,41,22,10,1
"Secundaria (024)",177,1,140,26,9,1
"Superior no univ. incompleta (025)",55,,35,20,,
"Superior no univ. completa (026)",86,,52,30,4,
"Superior univ. incompleta (027)",19,,17,2,,
"Superior univ. completa (028)",61,,31,26,4,
,,,,,,
"Area Urbana (030)",1465,29,744,380,264,48
"Sin nivel (031)",67,3,16,15,22,11
"Educación inicial (032)",3,,3,,,
"Primaria (033)",311,19,98,75,95,24
"Secundaria (034)",623,7,371,135,103,7
"Superior no univ. incompleta (035)",107,,66,31,9,1
"Superior no univ. completa (036)",181,,96,72,12,1
"Superior univ. incompleta (037)",55,,43,7,4,1
"Superior univ. completa (038)",118,,51,45,19,3
"Hombres (040)",1044,21,482,263,232,46
"Sin nivel (041)",50,2,10,11,16,11
"Educación inicial (042)",1,,1,,,
"Primaria (043)",252,13,71,59,86,23
"Secundaria (044)",483,6,265,112,94,6
"Superior no univ. incompleta (045)",60,,38,12,9,1
"Superior no univ. completa (046)",101,,49,43,8,1
"Superior univ. incompleta (047)",36,,26,5,4,1
"Superior univ. completa (048)",61,,22,21,15,3
"Mujeres (050)",421,8,262,117,32,2
"Sin nivel (051)",17,1,6,4,6,
"Educación inicial (052)",2,,2,,,
"Primaria (053)",59,6,27,16,9,1
"Secundaria (054)",140,1,106,23,9,1
"Superior no univ. incompleta (055)",47,,28,19,,
"Superior no univ. completa (056)",80,,47,29,4,
"Superior univ. incompleta (057)",19,,17,2,,
"Superior univ. completa (058)",57,,29,24,4,
,,,,,,
"Area Rural (060)",674,26,305,203,112,28
"Sin nivel (061)",66,5,12,22,15,12
"Primaria (063)",273,15,94,84,68,12
"Secundaria (064)",261,6,160,67,25,3
"Superior no univ. incompleta (065)",26,,17,7,2,
"Superior no univ. completa (066)",31,,12,18,1,
"Superior univ. incompleta (067)",4,,4,,,
"Superior univ. completa (068)",13,,6,5,1,1
"Hombres (070)",583,18,240,186,111,28
"Sin nivel (071)",57,3,9,18,15,12
"Primaria (073)",246,9,80,78,67,12
"Secundaria (074)",224,6,126,64,25,3
"Superior no univ. incompleta (075)",18,,10,6,2,
"Superior no univ. completa (076)",25,,7,17,1,
"Superior univ. incompleta (077)",4,,4,,,
"Superior univ. completa (078)",9,,4,3,1,1
"Mujeres (080)",91,8,65,17,1,
"Sin nivel (081)",9,2,3,4,,
"Primaria (083)",27,6,14,6,1,
"Secundaria (084)",37,,34,3,,
"Superior no univ. incompleta (085)",8,,7,1,,
"Superior no univ. completa (086)",6,,5,1,,
"Superior univ. completa (088)",4,,2,2,,
