"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAYACAJA (000)",36250,34991,10526,3733,3724,3207,5261,4007,2610,1923,1259,113518
"De 12 a 14 años (001)",4403,4356,4341,14,1,,,,,,47,16
"De 15 a 19 años (002)",4908,4811,4088,590,111,17,5,,,,97,883
"De 20 a 24 años (003)",3995,3569,1014,1316,840,302,90,7,,,426,4334
"De 25 a 29 años (004)",3556,3272,291,668,984,756,505,60,8,,284,7497
"De 30 a 34 años (005)",3141,2994,135,330,588,665,933,297,39,7,147,9879
"De 35 a 39 años (006)",3069,2973,110,200,393,450,962,588,208,62,96,12795
"De 40 a 44 años (007)",2691,2661,79,114,228,289,710,650,411,180,30,14223
"De 45 a 49 años (008)",2323,2293,65,94,158,194,501,577,441,263,30,13621
"De 50 y más años (009)",8164,8062,403,407,421,534,1555,1828,1503,1411,102,50270
"Sin nivel (010)",9369,9192,525,514,627,704,1891,1988,1564,1379,177,53922
"De 12 a 14 años (011)",38,37,37,,,,,,,,1,
"De 15 a 19 años (012)",84,84,50,18,10,5,1,,,,,57
"De 20 a 24 años (013)",192,167,38,41,43,24,18,3,,,25,296
"De 25 a 29 años (014)",283,268,18,31,60,59,77,17,6,,15,815
"De 30 a 34 años (015)",438,410,13,35,61,78,140,67,14,2,28,1574
"De 35 a 39 años (016)",646,625,28,38,64,60,177,159,65,34,21,3080
"De 40 a 44 años (017)",834,823,31,34,37,65,185,200,173,98,11,4967
"De 45 a 49 años (018)",981,972,26,36,65,61,188,237,203,156,9,6200
"De 50 y más años (019)",5873,5806,284,281,287,352,1105,1305,1103,1089,67,36933
"Educacion Inicial (020)",83,76,29,5,13,8,11,10,,,7,165
"De 12 a 14 años (021)",21,20,20,,,,,,,,1,
