"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCANE (000)",1035,17,533,305,132,48
"Conviviente (001)",282,,143,122,16,1
"Separado(a) (002)",11,,4,2,3,2
"Casado(a) (003)",253,,13,106,100,34
"Viudo(a) (004)",20,,2,4,3,11
"Divorciado(a) (005)",3,,1,1,1,
"Soltero(a) (006)",466,17,370,70,9,
"Hombres (008)",792,8,369,256,118,41
"Conviviente (009)",230,,103,110,16,1
"Separado(a) (010)",2,,,,1,1
"Casado(a) (011)",224,,12,89,92,31
"Viudo(a) (012)",13,,,3,2,8
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",322,8,254,54,6,
"Mujeres (016)",243,9,164,49,14,7
"Conviviente (017)",52,,40,12,,
"Separado(a) (018)",9,,4,2,2,1
"Casado(a) (019)",29,,1,17,8,3
"Viudo(a) (020)",7,,2,1,1,3
"Divorciado(a) (021)",2,,1,1,,
"Soltero(a) (022)",144,9,116,16,3,
,,,,,,
"AREA URBANA (024)",414,8,219,121,52,14
"Conviviente (025)",134,,79,52,3,
"Separado(a) (026)",8,,2,2,3,1
"Casado(a) (027)",95,,4,41,40,10
"Viudo(a) (028)",8,,2,1,2,3
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",168,8,132,24,4,
"Hombres (032)",289,5,144,88,42,10
"Conviviente (033)",95,,49,43,3,
"Separado(a) (034)",1,,,,1,
"Casado(a) (035)",73,,3,27,35,8
"Viudo(a) (036)",3,,,,1,2
"Soltero(a) (038)",117,5,92,18,2,
"Mujeres (040)",125,3,75,33,10,4
"Conviviente (041)",39,,30,9,,
"Separado(a) (042)",7,,2,2,2,1
"Casado(a) (043)",22,,1,14,5,2
"Viudo(a) (044)",5,,2,1,1,1
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",51,3,40,6,2,
,,,,,,
"AREA RURAL (048)",621,9,314,184,80,34
"Conviviente (049)",148,,64,70,13,1
"Separado(a) (050)",3,,2,,,1
"Casado(a) (051)",158,,9,65,60,24
"Viudo(a) (052)",12,,,3,1,8
"Divorciado(a) (053)",2,,1,,1,
"Soltero(a) (054)",298,9,238,46,5,
"Hombres (056)",503,3,225,168,76,31
"Conviviente (057)",135,,54,67,13,1
"Separado(a) (058)",1,,,,,1
"Casado(a) (059)",151,,9,62,57,23
"Viudo(a) (060)",10,,,3,1,6
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",205,3,162,36,4,
"Mujeres (064)",118,6,89,16,4,3
"Conviviente (065)",13,,10,3,,
"Separado(a) (066)",2,,2,,,
"Casado(a) (067)",7,,,3,3,1
"Viudo(a) (068)",2,,,,,2
"Divorciado(a) (069)",1,,1,,,
"Soltero(a) (070)",93,6,76,10,1,
