"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHICLAYO (000)",271456,180900,27384,26857,36315
"Agric., ganadería, caza y silvicultura (001)",28659,17346,4143,2975,4195
"Pesca (002)",1427,809,381,194,43
"Explotación de minas y canteras (003)",507,163,71,77,196
"Industrias manufactureras (004)",26814,18156,3355,2437,2866
"Suministro de electricidad, gas y agua (005)",1000,194,71,323,412
"Construcción (006)",16935,11469,2614,1610,1242
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",70777,62119,4865,2959,834
"Venta, mant.y rep. veh.autom y motoc. (008)",7020,5227,1061,524,208
"Comercio al por mayor (009)",4553,2722,535,670,626
"Comercio al por menor (010)",59204,54170,3269,1765,
"Hoteles y restaurantes (011)",12308,9417,1623,938,330
"Trans., almac. y comunicaciones (012)",33013,26873,2107,2220,1813
"Intermediación financiera (013)",2285,314,201,1019,751
"Activid.inmobil., empres. y alquileres (014)",12184,6426,1468,2069,2221
"Admin.pub. y defensa; p. segur soc.afil (015)",9759,,,,9759
"Enseñanza (016)",19652,3439,3617,7306,5290
"Servicios sociales y de salud (017)",7372,1761,465,537,4609
"Otras activ. serv.comun.soc y personales (018)",9558,6906,1236,946,470
"Hogares privados con servicio doméstico (019)",10050,10050,,,
"Organiz. y organos extraterritoriales (020)",1,,,,1
"Actividad economica no especificada (021)",9155,5458,1167,1247,1283
"Hombres (022)",175434,114751,19320,16978,24385
"Agric., ganadería, caza y silvicultura (023)",25955,15964,3703,2522,3766
"Pesca (024)",1381,774,378,191,38
"Explotación de minas y canteras (025)",465,157,68,63,177
"Industrias manufactureras (026)",18854,12386,2575,1813,2080
"Suministro de electricidad, gas y agua (027)",869,165,68,284,352
"Construcción (028)",16551,11283,2560,1525,1183
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",38877,33256,3152,1858,611
"Venta, mant.y rep. veh.autom y motoc. (030)",6447,4859,955,439,194
"Comercio al por mayor (031)",2823,1622,349,435,417
"Comercio al por menor (032)",29607,26775,1848,984,
"Hoteles y restaurantes (033)",3971,2569,738,483,181
"Trans., almac. y comunicaciones (034)",30620,25156,1900,1943,1621
"Intermediación financiera (035)",1354,200,123,603,428
"Activid.inmobil., empres. y alquileres (036)",8824,4540,1034,1551,1699
