"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANGARAES (000)",10966,8743,732,507,984
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,,2,2,23
"Profes., científicos e intelectuales (002)",851,237,306,197,111
"Técnicos de nivel medio y trab. asimilados (003)",209,79,28,44,58
"Jefes y empleados de oficina (004)",184,28,15,22,119
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",619,572,28,6,13
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4150,4075,74,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",547,214,29,59,245
"Obreros construc.,conf.,papel, fab., instr. (008)",418,280,61,29,48
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3401,2845,155,105,296
"Otra (010)",40,,,,40
"Ocupación no especificada (011)",520,413,34,43,30
"Hombres (012)",7889,6192,507,352,838
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",23,,1,1,21
"Profes., científicos e intelectuales (014)",487,120,175,128,64
"Técnicos de nivel medio y trab. asimilados (015)",114,49,20,9,36
"Jefes y empleados de oficina (016)",121,14,5,15,87
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",232,201,14,4,13
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3557,3496,60,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",515,194,25,56,240
"Obreros construc.,conf.,papel, fab., instr. (020)",415,278,61,28,48
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2086,1611,122,87,266
"Otra (022)",40,,,,40
"Ocupación no especificada (023)",299,229,24,24,22
"Mujeres (024)",3077,2551,225,155,146
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,1,1,2
"Profes., científicos e intelectuales (026)",364,117,131,69,47
"Técnicos de nivel medio y trab. asimilados (027)",95,30,8,35,22
"Jefes y empleados de oficina (028)",63,14,10,7,32
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",387,371,14,2,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",593,579,14,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",32,20,4,3,5
"Obreros construc.,conf.,papel, fab., instr. (032)",3,2,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1315,1234,33,18,30
