"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHICLAYO (000)",269657,528,30947,17859,13397,54239,7741,27871,36952,71028,2939,6156
"Agric., ganadería, caza y silvicultura (001)",28380,,363,215,119,,6922,112,152,20497,,
"Pesca (002)",1424,1,20,15,4,,819,1,13,551,,
"Explotación de minas y canteras (003)",504,,53,36,18,4,,114,29,250,,
"Industrias manufactureras (004)",26619,22,742,1417,789,156,,19956,2417,1120,,
"Suministro de electricidad, gas y agua (005)",997,5,126,199,153,,,201,97,216,,
"Construcción (006)",16891,6,754,642,143,,,1344,9526,4476,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",70013,55,846,3572,1214,43296,,5668,777,14585,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",6978,13,142,373,136,1535,,4112,493,174,,
"Comercio al por mayor (009)",4538,18,171,722,286,2935,,10,59,337,,
"Comercio al por menor (010)",58497,24,533,2477,792,38826,,1546,225,14074,,
"Hoteles y restaurantes (011)",12183,7,135,692,624,6602,,11,7,4105,,
"Trans., almac. y comunicaciones (012)",32928,12,286,1223,1359,84,,193,23357,6414,,
"Intermediación financiera (013)",2283,16,273,642,1186,,,4,3,159,,
"Activid.inmobil., empres. y alquileres (014)",12154,6,3656,2975,1483,1954,,101,158,1821,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",9759,89,1263,702,2986,299,,34,240,1207,2939,
"Enseñanza (016)",19650,293,17947,348,699,,,7,10,346,,
"Servicios sociales y de salud (017)",7369,,3308,2644,552,304,,64,48,449,,
"Otras activ. serv.comun.soc y personales (018)",9460,5,711,1716,493,1483,,60,98,4894,,
"Hogares privados con servicio doméstico (019)",9909,,2,41,,52,,,2,9812,,
"Organiz. y organos extraterritoriales (020)",1,,,1,,,,,,,,
"Actividad economica no especificada (021)",9133,11,462,779,1575,5,,1,18,126,,6156
"Hombres (022)",174175,323,14844,11055,6311,25451,7298,21575,35952,44954,2786,3626
"Agric., ganadería, caza y silvicultura (023)",25726,,313,166,81,,6499,110,152,18405,,
"Pesca (024)",1378,1,19,12,1,,799,1,13,532,,
"Explotación de minas y canteras (025)",462,,45,29,14,3,,108,29,234,,
"Industrias manufactureras (026)",18698,19,574,983,470,92,,13866,1823,871,,
"Suministro de electricidad, gas y agua (027)",866,4,108,176,98,,,194,96,190,,
"Construcción (028)",16511,5,676,594,91,,,1333,9429,4383,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",38339,44,563,2124,500,20746,,5525,770,8067,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",6405,12,125,306,51,1205,,4050,491,165,,
"Comercio al por mayor (031)",2815,14,95,403,158,1774,,6,59,306,,
"Comercio al por menor (032)",29119,18,343,1415,291,17767,,1469,220,7596,,
"Hoteles y restaurantes (033)",3906,6,82,387,290,1960,,10,7,1164,,
"Trans., almac. y comunicaciones (034)",30548,9,201,752,842,30,,181,23096,5437,,
"Intermediación financiera (035)",1353,13,165,369,671,,,3,3,129,,
"Activid.inmobil., empres. y alquileres (036)",8798,4,2582,2155,689,1911,,97,142,1218,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",7101,67,845,461,1513,273,,33,221,902,2786,
"Enseñanza (038)",7329,140,6507,184,255,,,7,8,228,,
"Servicios sociales y de salud (039)",2621,,1318,795,175,57,,55,47,174,,
"Otras activ. serv.comun.soc y personales (040)",5294,3,533,1377,213,377,,51,96,2644,,
"Hogares privados con servicio doméstico (041)",293,,,1,,2,,,2,288,,
"Actividad economica no especificada (043)",4952,8,313,490,408,,,1,18,88,,3626
"Mujeres (044)",95482,205,16103,6804,7086,28788,443,6296,1000,26074,153,2530
"Agric., ganadería, caza y silvicultura (045)",2654,,50,49,38,,423,2,,2092,,
"Pesca (046)",46,,1,3,3,,20,,,19,,
"Explotación de minas y canteras (047)",42,,8,7,4,1,,6,,16,,
"Industrias manufactureras (048)",7921,3,168,434,319,64,,6090,594,249,,
"Suministro de electricidad, gas y agua (049)",131,1,18,23,55,,,7,1,26,,
"Construcción (050)",380,1,78,48,52,,,11,97,93,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",31674,11,283,1448,714,22550,,143,7,6518,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",573,1,17,67,85,330,,62,2,9,,
"Comercio al por mayor (053)",1723,4,76,319,128,1161,,4,,31,,
"Comercio al por menor (054)",29378,6,190,1062,501,21059,,77,5,6478,,
"Hoteles y restaurantes (055)",8277,1,53,305,334,4642,,1,,2941,,
"Trans., almac. y comunicaciones (056)",2380,3,85,471,517,54,,12,261,977,,
"Intermediación financiera (057)",930,3,108,273,515,,,1,,30,,
"Activid.inmobil., empres. y alquileres (058)",3356,2,1074,820,794,43,,4,16,603,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",2658,22,418,241,1473,26,,1,19,305,153,
"Enseñanza (060)",12321,153,11440,164,444,,,,2,118,,
"Servicios sociales y de salud (061)",4748,,1990,1849,377,247,,9,1,275,,
"Otras activ. serv.comun.soc y personales (062)",4166,2,178,339,280,1106,,9,2,2250,,
"Hogares privados con servicio doméstico (063)",9616,,2,40,,50,,,,9524,,
"Organiz. y organos extraterritoriales (064)",1,,,1,,,,,,,,
"Actividad economica no especificada (065)",4181,3,149,289,1167,5,,,,38,,2530
,,,,,,,,,,,,
"URBANA (066)",253934,515,30600,17690,13243,53149,5320,26862,35697,62110,2911,5837
