"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA CONVENCION (000)",63455,52294,4544,2302,4315
"Hombres (001)",46938,38453,3332,1705,3448
"Mujeres (002)",16517,13841,1212,597,867
"De 06 a 14 años (003)",1173,1048,92,26,7
"Hombres (004)",778,702,59,13,4
"Mujeres (005)",395,346,33,13,3
"De 15 a 29 años (006)",21128,17170,1787,771,1400
"Hombres (007)",15434,12472,1297,588,1077
"Mujeres (008)",5694,4698,490,183,323
"De 30 a 44 años (009)",21838,17220,1667,996,1955
"Hombres (010)",15732,12269,1199,701,1563
"Mujeres (011)",6106,4951,468,295,392
"De 45 a 64 años (012)",15138,12845,902,493,898
"Hombres (013)",11566,9725,699,389,753
"Mujeres (014)",3572,3120,203,104,145
"De 65 y más años (015)",4178,4011,96,16,55
"Hombres (016)",3428,3285,78,14,51
"Mujeres (017)",750,726,18,2,4
,,,,,
"URBANA (018)",19578,14107,1858,1450,2163
"Hombres (019)",12127,8269,1236,1003,1619
"Mujeres (020)",7451,5838,622,447,544
"De 06 a 14 años (021)",285,241,30,14,
"Hombres (022)",178,150,23,5,
"Mujeres (023)",107,91,7,9,
"De 15 a 29 años (024)",6252,4556,683,423,590
"Hombres (025)",3831,2690,430,299,412
"Mujeres (026)",2421,1866,253,124,178
"De 30 a 44 años (027)",7641,5198,742,666,1035
"Hombres (028)",4582,2879,494,433,776
"Mujeres (029)",3059,2319,248,233,259
"De 45 a 64 años (030)",4564,3345,373,340,506
"Hombres (031)",2959,2028,269,260,402
"Mujeres (032)",1605,1317,104,80,104
"De 65 y más años (033)",836,767,30,7,32
"Hombres (034)",577,522,20,6,29
"Mujeres (035)",259,245,10,1,3
,,,,,
"RURAL (036)",43877,38187,2686,852,2152
"Hombres (037)",34811,30184,2096,702,1829
"Mujeres (038)",9066,8003,590,150,323
"De 06 a 14 años (039)",888,807,62,12,7
"Hombres (040)",600,552,36,8,4
"Mujeres (041)",288,255,26,4,3
"De 15 a 29 años (042)",14876,12614,1104,348,810
"Hombres (043)",11603,9782,867,289,665
"Mujeres (044)",3273,2832,237,59,145
"De 30 a 44 años (045)",14197,12022,925,330,920
"Hombres (046)",11150,9390,705,268,787
"Mujeres (047)",3047,2632,220,62,133
"De 45 a 64 años (048)",10574,9500,529,153,392
"Hombres (049)",8607,7697,430,129,351
"Mujeres (050)",1967,1803,99,24,41
"De 65 y más años (051)",3342,3244,66,9,23
"Hombres (052)",2851,2763,58,8,22
"Mujeres (053)",491,481,8,1,1
