"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LA MAR (000)",27397,84833,71966,,1715,84.8,2
"De 12 a 14 años (001)",3290,21,21,,5,100,23.8
"De 15 a 19 años (002)",3741,1111,1089,285,98,25.7,
"De 20 a 24 años (003)",2975,3605,3519,373,97.6,10.3,
"De 25 a 29 años (004)",2878,6131,5872,377,95.8,6.1,
"De 30 a 34 años (005)",2623,8582,8094,318,94.3,3.7,
"De 35 a 39 años (006)",2482,10359,9562,213,92.3,2.1,
"De 40 a 44 años (007)",2157,11428,10197,121,89.2,1.1,
"De 45 a 49 años (008)",1773,10306,8832,23,85.7,0.2,
"De 50 y más años (009)",5478,33290,24780,,74.4,,
"Sin nivel (010)",8153,45012,35500,291,78.9,0.6,
"De 12 a 14 años (011)",35,2,2,,100,,
"De 15 a 19 años (012)",94,50,48,12,96,24,
"De 20 a 24 años (013)",148,265,249,23,94,8.7,
"De 25 a 29 años (014)",267,720,683,44,94.9,6.1,
"De 30 a 34 años (015)",511,1986,1852,69,93.3,3.5,
"De 35 a 39 años (016)",797,3695,3352,67,90.7,1.8,
"De 40 a 44 años (017)",950,5472,4771,58,87.2,1.1,
"De 45 a 49 años (018)",976,5913,4932,18,83.4,0.3,
"De 50 y más años (019)",4375,26909,19611,,72.9,,
"Educacion Inicial (020)",63,176,159,4,90.3,2.3,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",12,5,5,1,100,20,
"De 20 a 24 años (023)",4,4,4,,100,,
"De 25 a 29 años (024)",15,43,42,2,97.7,4.7,
"De 30 a 34 años (025)",14,59,52,1,88.1,1.7,
"De 35 a 39 años (026)",13,65,56,,86.2,,
"Primaria (030)",11455,31411,28390,917,90.4,2.9,
"De 12 a 14 años (031)",2297,10,10,4,100,40,
"De 15 a 19 años (032)",1302,586,574,139,98,23.7,
"De 20 a 24 años (033)",1241,2004,1957,176,97.7,8.8,
"De 25 a 29 años (034)",1451,3806,3622,230,95.2,6,
"De 30 a 34 años (035)",1419,5105,4800,187,94,3.7,
"De 35 a 39 años (036)",1206,5317,4919,120,92.5,2.3,
"De 40 a 44 años (037)",979,5210,4716,56,90.5,1.1,
"De 45 a 49 años (038)",634,3736,3283,5,87.9,0.1,
"De 50 y más años (039)",926,5637,4509,,80,,
