"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DOS DE MAYO (000)",46797,16222,30575
"Casa independiente (001)",40611,15942,24669
"Vivienda en quinta (003)",87,87,
"Vivienda en casa de vecindad (004)",131,131,
"Choza o cabaña (005)",5878,,5878
"Vivienda improvisada (006)",21,21,
"Local no dest.para hab. humana (007)",65,38,27
"Otro tipo (008)",4,3,1
