"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ANGARAES (000)",13251,46,150,528,1121,2043,5496,3867
"De 12 a 14 años (001)",41,,,,,,1,40
"De 15 a 19 años (002)",420,,,,,,231,189
"De 20 a 24 años (003)",1541,,,,,1,900,640
"De 25 a 29 años (004)",1718,,,,,48,1112,558
"De 30 a 34 años (005)",1602,,,,1,161,1071,369
"De 35 a 39 años (006)",1373,,,,5,225,869,274
"De 40 a 44 años (007)",1352,,,,21,342,715,274
"De 45 a 49 años (008)",1162,,,3,91,388,503,177
"De 50 y más años (009)",4042,46,150,525,1003,878,94,1346
"Conviviente (010)",2169,2,2,11,52,181,1247,674
"De 12 a 14 años (011)",21,,,,,,1,20
"De 15 a 19 años (012)",229,,,,,,122,107
"De 20 a 24 años (013)",548,,,,,,377,171
"De 25 a 29 años (014)",483,,,,,13,326,144
"De 30 a 34 años (015)",297,,,,,23,195,79
"De 35 a 39 años (016)",196,,,,3,31,122,40
"De 40 a 44 años (017)",134,,,,1,31,65,37
"De 45 a 49 años (018)",91,,,,7,32,35,17
"De 50 y más años (019)",170,2,2,11,41,51,4,59
"Separado(a) (020)",552,2,3,12,29,84,251,171
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",41,,,,,,23,18
"De 20 a 24 años (023)",109,,,,,,71,38
"De 25 a 29 años (024)",93,,,,,9,51,33
"De 30 a 34 años (025)",78,,,,,11,51,16
"De 35 a 39 años (026)",55,,,,1,16,22,16
"De 40 a 44 años (027)",42,,,,1,17,18,6
"De 45 a 49 años (028)",39,,,1,6,11,14,7
"De 50 y más años (029)",94,2,3,11,21,20,1,36
"Casado(a) (030)",7714,9,37,245,657,1484,3640,1642
"De 12 a 14 años (031)",11,,,,,,,11
"De 15 a 19 años (032)",84,,,,,,48,36
"De 20 a 24 años (033)",543,,,,,,374,169
"De 25 a 29 años (034)",858,,,,,19,670,169
"De 30 a 34 años (035)",1047,,,,1,102,774,170
"De 35 a 39 años (036)",993,,,,1,157,676,159
"De 40 a 44 años (037)",1022,,,,16,244,592,170
"De 45 a 49 años (038)",893,,,1,54,299,426,113
"De 50 y más años (039)",2263,9,37,244,585,663,80,645
"Viudo(a) (040)",1757,32,108,250,354,234,140,639
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",4,,,,,,1,3
"De 20 a 24 años (043)",14,,,,,,9,5
"De 25 a 29 años (044)",18,,,,,,14,4
"De 30 a 34 años (045)",39,,,,,8,23,8
"De 35 a 39 años (046)",55,,,,,13,28,14
"De 40 a 44 años (047)",103,,,,1,37,31,34
"De 45 a 49 años (048)",109,,,,19,42,26,22
