"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,120,8,2126,2465,300,563,186,347
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",21,,,1,2,1,5,2,10
"Profes., científicos e intelectuales (002)",400,,,,19,26,147,51,157
"Técnicos de nivel medio ytrab.asimilados (003)",197,,,12,33,28,59,14,51
"Jefes y empleados de oficina (004)",260,,,5,78,27,83,27,40
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",768,16,,263,313,57,70,24,25
"Agricult.trabaj. calif.agrop. y pesquros (006)",1043,38,1,566,382,21,18,12,5
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",256,3,1,74,125,24,23,3,3
"Obreros. construc., conf., papel, fab., instr (008)",749,9,1,208,415,32,50,16,18
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2233,49,5,927,1044,77,77,30,24
"Otra (010)",37,,,,4,2,18,4,9
"Ocupación no especificada (011)",151,5,,70,50,5,13,3,5
"Hombres (012)",4648,84,7,1669,2015,195,322,131,225
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",14,,,1,,,4,2,7
"Profes., científicos e intelectuales (014)",192,,,,5,9,54,33,91
"Técnicos de nivel medio ytrab.asimilados (015)",122,,,7,23,23,28,10,31
"Jefes y empleados de oficina (016)",137,,,5,56,6,31,16,23
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",379,3,,108,176,28,35,12,17
"Agricult.trabaj. calif.agrop. y pesquros (018)",1009,35,1,541,377,21,18,11,5
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",215,2,,62,103,21,22,3,2
"Obreros. construc., conf., papel, fab., instr (020)",715,7,1,195,399,32,48,16,17
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1747,36,5,711,848,51,55,22,19
"Otra (022)",36,,,,4,2,17,4,9
"Ocupación no especificada (023)",82,1,,39,24,2,10,2,4
"Mujeres (024)",1467,36,1,457,450,105,241,55,122
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",7,,,,2,1,1,,3
"Profes., científicos e intelectuales (026)",208,,,,14,17,93,18,66
"Técnicos de nivel medio ytrab.asimilados (027)",75,,,5,10,5,31,4,20
"Jefes y empleados de oficina (028)",123,,,,22,21,52,11,17
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",389,13,,155,137,29,35,12,8
"Agricult.trabaj. calif.agrop. y pesquros (030)",34,3,,25,5,,,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",41,1,1,12,22,3,1,,1
"Obreros. construc., conf., papel, fab., instr (032)",34,2,,13,16,,2,,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",486,13,,216,196,26,22,8,5
"Otra (034)",1,,,,,,1,,
"Ocupación no especificada (035)",69,4,,31,26,3,3,1,1
,,,,,,,,,
"URBANA (036)",4857,82,8,1558,1995,265,476,160,313
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",18,,,,2,1,4,2,9
"Profes., científicos e intelectuales (038)",327,,,,14,16,115,43,139
