"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,11301,84,2764,2605,1921,2251,1122,447,107,647,35729
"De 12 a 14 años (001)",17,8,,6,2,,,,,,9,10
"De 15 a 19 años (002)",312,265,6,224,29,4,2,,,,47,302
"De 20 a 24 años (003)",1805,1576,23,1036,401,96,17,3,,,229,2217
"De 25 a 29 años (004)",1978,1796,13,646,706,312,113,6,,,182,3505
"De 30 a 34 años (005)",1665,1589,6,305,547,398,293,37,2,1,76,4113
"De 35 a 39 años (006)",1526,1485,12,169,359,389,417,121,17,1,41,4787
"De 40 a 44 años (007)",1127,1105,4,94,178,229,368,165,57,10,22,4404
"De 45 a 49 años (008)",886,881,5,63,112,149,262,183,81,26,5,4035
"De 50 y más años (009)",2632,2596,15,221,271,344,779,607,290,69,36,12356
"Sin nivel (010)",2539,2499,17,243,290,346,697,570,268,68,40,11583
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",5,4,,4,,,,,,,1,4
"De 20 a 24 años (013)",39,36,1,16,11,6,1,1,,,3,66
"De 25 a 29 años (014)",49,47,,11,15,12,8,1,,,2,117
"De 30 a 34 años (015)",84,76,1,14,14,16,25,4,1,1,8,247
"De 35 a 39 años (016)",116,113,2,13,12,29,37,18,2,,3,416
"De 40 a 44 años (017)",180,176,2,13,21,30,50,45,13,2,4,779
"De 45 a 49 años (018)",198,197,1,18,18,24,44,50,30,12,1,1014
"De 50 y más años (019)",1867,1849,10,154,198,229,532,451,222,53,18,8938
"Educacion Inicial (020)",26,25,,5,9,8,3,,,,1,60
"De 15 a 19 años (022)",1,,,,,,,,,,1,
