"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHURCAMPA (000)",13112,1324,2608,6468,75,2572,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,39,,,,,
"Profes., científicos e intelectuales (002)",741,696,,42,,3,
"Técnicos de nivel medio y trab. asimilados (003)",191,155,,28,5,3,
"Jefes y empleados de oficina (004)",173,173,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",578,83,15,415,4,61,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5493,,,5414,58,21,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",558,,411,134,4,9,
"Obreros construc.,conf.,papel, fab., instr. (008)",434,24,286,114,2,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4617,69,1864,201,2,2416,65
"Otra (010)",61,61,,,,,
"Ocupación no especificada (011)",227,24,32,120,,51,
"Hombres (012)",9188,817,2216,5055,58,1036,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,31,,,,,
"Profes., científicos e intelectuales (014)",413,388,,24,,1,
"Técnicos de nivel medio y trab. asimilados (015)",135,111,,23,1,,
"Jefes y empleados de oficina (016)",106,106,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",229,57,9,146,2,15,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4645,,,4575,50,20,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",493,,389,93,3,8,
"Obreros construc.,conf.,papel, fab., instr. (020)",425,24,282,110,2,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2573,34,1519,41,,973,6
"Otra (022)",52,52,,,,,
"Ocupación no especificada (023)",86,14,17,43,,12,
"Mujeres (024)",3924,507,392,1413,17,1536,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,8,,,,,
"Profes., científicos e intelectuales (026)",328,308,,18,,2,
"Técnicos de nivel medio y trab. asimilados (027)",56,44,,5,4,3,
"Jefes y empleados de oficina (028)",67,67,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",349,26,6,269,2,46,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",848,,,839,8,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",65,,22,41,1,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",9,,4,4,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2044,35,345,160,2,1443,59
"Otra (034)",9,9,,,,,
"Ocupación no especificada (035)",141,10,15,77,,39,
,,,,,,,
"URBANA (036)",3679,1042,976,1301,18,300,42
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",28,28,,,,,
"Profes., científicos e intelectuales (038)",529,502,,26,,1,
"Técnicos de nivel medio y trab. asimilados (039)",165,136,,22,5,2,
"Jefes y empleados de oficina (040)",151,151,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",430,78,10,293,1,48,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",640,,,625,6,9,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",450,,357,84,4,5,
"Obreros construc.,conf.,papel, fab., instr. (044)",327,21,226,79,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",831,51,371,142,2,223,42
"Otra (046)",61,61,,,,,
"Ocupación no especificada (047)",67,14,12,30,,11,
"Hombres (048)",2498,643,882,816,8,146,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",24,24,,,,,
"Profes., científicos e intelectuales (050)",285,270,,15,,,
"Técnicos de nivel medio y trab. asimilados (051)",121,102,,18,1,,
"Jefes y empleados de oficina (052)",89,89,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",175,54,9,101,,11,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",503,,,490,4,9,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",416,,340,68,3,5,
"Obreros construc.,conf.,papel, fab., instr. (056)",322,21,222,78,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",473,24,303,26,,117,3
"Otra (058)",52,52,,,,,
"Ocupación no especificada (059)",38,7,8,20,,3,
"Mujeres (060)",1181,399,94,485,10,154,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",244,232,,11,,1,
"Técnicos de nivel medio y trab. asimilados (063)",44,34,,4,4,2,
"Jefes y empleados de oficina (064)",62,62,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",255,24,1,192,1,37,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",137,,,135,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",34,,17,16,1,,
"Obreros construc.,conf.,papel, fab., instr. (068)",5,,4,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",358,27,68,116,2,106,39
"Otra (070)",9,9,,,,,
"Ocupación no especificada (071)",29,7,4,10,,8,
,,,,,,,
"RURAL (072)",9433,282,1632,5167,57,2272,23
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",11,11,,,,,
"Profes., científicos e intelectuales (074)",212,194,,16,,2,
"Técnicos de nivel medio y trab. asimilados (075)",26,19,,6,,1,
"Jefes y empleados de oficina (076)",22,22,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",148,5,5,122,3,13,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",4853,,,4789,52,12,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",108,,54,50,,4,
"Obreros construc.,conf.,papel, fab., instr. (080)",107,3,60,35,2,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",3786,18,1493,59,,2193,23
"Ocupación no especificada (083)",160,10,20,90,,40,
"Hombres (084)",6690,174,1334,4239,50,890,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",128,118,,9,,1,
"Técnicos de nivel medio y trab. asimilados (087)",14,9,,5,,,
"Jefes y empleados de oficina (088)",17,17,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",54,3,,45,2,4,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",4142,,,4085,46,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",77,,49,25,,3,
"Obreros construc.,conf.,papel, fab., instr. (092)",103,3,60,32,2,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2100,10,1216,15,,856,3
"Ocupación no especificada (095)",48,7,9,23,,9,
"Mujeres (096)",2743,108,298,928,7,1382,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",4,4,,,,,
"Profes., científicos e intelectuales (098)",84,76,,7,,1,
"Técnicos de nivel medio y trab. asimilados (099)",12,10,,1,,1,
"Jefes y empleados de oficina (100)",5,5,,,,,
