"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUTERVO (000)",38736,34464,1733,628,1911
"Hombres (001)",31299,28400,1355,441,1103
"Mujeres (002)",7437,6064,378,187,808
"De 06 a 14 años (003)",774,732,39,3,
"Hombres (004)",584,553,28,3,
"Mujeres (005)",190,179,11,,
"De 15 a 29 años (006)",13094,11960,543,153,438
"Hombres (007)",10530,9758,431,104,237
"Mujeres (008)",2564,2202,112,49,201
"De 30 a 44 años (009)",12836,10832,678,312,1014
"Hombres (010)",10154,8856,502,216,580
"Mujeres (011)",2682,1976,176,96,434
"De 45 a 64 años (012)",9027,8042,397,151,437
"Hombres (013)",7397,6688,328,110,271
"Mujeres (014)",1630,1354,69,41,166
"De 65 y más años (015)",3005,2898,76,9,22
"Hombres (016)",2634,2545,66,8,15
"Mujeres (017)",371,353,10,1,7
,,,,,
"URBANA (018)",8968,6159,671,457,1681
"Hombres (019)",5854,4131,472,312,939
"Mujeres (020)",3114,2028,199,145,742
"De 06 a 14 años (021)",117,109,8,,
"Hombres (022)",75,68,7,,
"Mujeres (023)",42,41,1,,
"De 15 a 29 años (024)",2641,2005,182,91,363
"Hombres (025)",1669,1283,133,62,191
"Mujeres (026)",972,722,49,29,172
"De 30 a 44 años (027)",3555,2101,318,237,899
"Hombres (028)",2238,1380,204,160,494
"Mujeres (029)",1317,721,114,77,405
"De 45 a 64 años (030)",2190,1522,147,123,398
"Hombres (031)",1502,1064,113,85,240
"Mujeres (032)",688,458,34,38,158
"De 65 y más años (033)",465,422,16,6,21
"Hombres (034)",370,336,15,5,14
"Mujeres (035)",95,86,1,1,7
,,,,,
"RURAL (036)",29768,28305,1062,171,230
"Hombres (037)",25445,24269,883,129,164
"Mujeres (038)",4323,4036,179,42,66
"De 06 a 14 años (039)",657,623,31,3,
"Hombres (040)",509,485,21,3,
"Mujeres (041)",148,138,10,,
"De 15 a 29 años (042)",10453,9955,361,62,75
"Hombres (043)",8861,8475,298,42,46
"Mujeres (044)",1592,1480,63,20,29
"De 30 a 44 años (045)",9281,8731,360,75,115
"Hombres (046)",7916,7476,298,56,86
"Mujeres (047)",1365,1255,62,19,29
"De 45 a 64 años (048)",6837,6520,250,28,39
"Hombres (049)",5895,5624,215,25,31
"Mujeres (050)",942,896,35,3,8
"De 65 y más años (051)",2540,2476,60,3,1
"Hombres (052)",2264,2209,51,3,1
"Mujeres (053)",276,267,9,,
