"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOYOBAMBA (000)",28218,27077,111,5997,5609,4624,5651,3001,1510,574,1141,94080
"De 12 a 14 años (001)",91,34,1,32,1,,,,,,57,34
"De 15 a 19 años (002)",1531,1375,16,1149,173,23,14,,,,156,1620
"De 20 a 24 años (003)",3789,3415,23,1929,1043,330,79,11,,,374,5408
"De 25 a 29 años (004)",4270,3996,14,1287,1388,799,459,48,1,,274,8711
"De 30 a 34 años (005)",3922,3809,9,643,1133,981,833,185,22,3,113,10871
"De 35 a 39 años (006)",3460,3413,10,355,741,814,1015,367,91,20,47,12006
"De 40 a 44 años (007)",2853,2820,10,181,425,610,890,481,166,57,33,11870
"De 45 a 49 años (008)",2198,2184,7,128,254,396,663,434,227,75,14,10282
"De 50 y más años (009)",6104,6031,21,293,451,671,1698,1475,1003,419,73,33278
"Conviviente (010)",12243,11888,50,3335,2841,1975,2156,965,413,153,355,35722
"De 12 a 14 años (011)",71,19,1,18,,,,,,,52,18
"De 15 a 19 años (012)",1088,962,10,790,135,19,8,,,,126,1149
"De 20 a 24 años (013)",2340,2247,16,1220,721,233,51,6,,,93,3617
"De 25 a 29 años (014)",2415,2376,8,727,869,485,256,30,1,,39,5203
"De 30 a 34 años (015)",1931,1913,3,276,560,509,448,103,11,3,18,5652
"De 35 a 39 años (016)",1537,1529,2,142,293,328,527,180,46,11,8,5665
"De 40 a 44 años (017)",1063,1059,4,64,127,202,353,213,74,22,4,4721
"De 45 a 49 años (018)",697,694,2,46,61,106,217,143,90,29,3,3445
"De 50 y más años (019)",1101,1089,4,52,75,93,296,290,191,88,12,6252
"Separado(a) (020)",1451,1431,2,381,274,231,308,147,70,18,20,4683
"De 12 a 14 años (021)",4,2,,2,,,,,,,2,2
