"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONCEPCION (000)",18961,15522,1345,976,1118
"Hombres (001)",12466,10048,904,748,766
"Mujeres (002)",6495,5474,441,228,352
"De 06 a 14 años (003)",329,305,21,2,1
"Hombres (004)",201,186,13,1,1
"Mujeres (005)",128,119,8,1,
"De 15 a 29 años (006)",5698,4553,481,343,321
"Hombres (007)",3857,3059,320,268,210
"Mujeres (008)",1841,1494,161,75,111
"De 30 a 44 años (009)",6461,5028,477,440,516
"Hombres (010)",4172,3174,313,328,357
"Mujeres (011)",2289,1854,164,112,159
"De 45 a 64 años (012)",4910,4136,323,181,270
"Hombres (013)",3163,2603,228,142,190
"Mujeres (014)",1747,1533,95,39,80
"De 65 y más años (015)",1563,1500,43,10,10
"Hombres (016)",1073,1026,30,9,8
"Mujeres (017)",490,474,13,1,2
,,,,,
"URBANA (018)",11123,8869,899,545,810
"Hombres (019)",6458,5029,575,354,500
"Mujeres (020)",4665,3840,324,191,310
"De 06 a 14 años (021)",227,211,14,2,
"Hombres (022)",133,121,11,1,
"Mujeres (023)",94,90,3,1,
"De 15 a 29 años (024)",3210,2525,318,159,208
"Hombres (025)",1937,1518,204,99,116
"Mujeres (026)",1273,1007,114,60,92
"De 30 a 44 años (027)",3835,2896,328,245,366
"Hombres (028)",2155,1580,198,152,225
"Mujeres (029)",1680,1316,130,93,141
"De 45 a 64 años (030)",2983,2413,214,130,226
"Hombres (031)",1713,1323,145,94,151
"Mujeres (032)",1270,1090,69,36,75
"De 65 y más años (033)",868,824,25,9,10
"Hombres (034)",520,487,17,8,8
"Mujeres (035)",348,337,8,1,2
,,,,,
"RURAL (036)",7838,6653,446,431,308
"Hombres (037)",6008,5019,329,394,266
"Mujeres (038)",1830,1634,117,37,42
"De 06 a 14 años (039)",102,94,7,,1
"Hombres (040)",68,65,2,,1
"Mujeres (041)",34,29,5,,
"De 15 a 29 años (042)",2488,2028,163,184,113
"Hombres (043)",1920,1541,116,169,94
"Mujeres (044)",568,487,47,15,19
"De 30 a 44 años (045)",2626,2132,149,195,150
"Hombres (046)",2017,1594,115,176,132
"Mujeres (047)",609,538,34,19,18
"De 45 a 64 años (048)",1927,1723,109,51,44
"Hombres (049)",1450,1280,83,48,39
"Mujeres (050)",477,443,26,3,5
"De 65 y más años (051)",695,676,18,1,
"Hombres (052)",553,539,13,1,
"Mujeres (053)",142,137,5,,
