"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia PISCO (000)",48098,108,3233,2199,1675,5800,4889,5226,6115,14248,830,1032,2743
"Agric., ganadería, caza y silvicultura (001)",10274,,22,54,18,1,3394,9,85,6691,,,
"Pesca (002)",1826,,15,22,18,,1495,10,17,249,,,
"Explotación de minas y canteras (003)",302,,10,52,21,1,,149,39,30,,,
"Industrias manufactureras (004)",5283,6,102,339,202,21,,3559,406,648,,,
"Suministro de electricidad, gas y agua (005)",136,1,5,16,11,,,45,28,30,,,
"Construcción (006)",3708,2,81,130,21,,,306,2152,1016,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",7315,10,71,310,93,3911,,1033,93,1794,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1118,1,20,52,20,160,,786,60,19,,,
"Comercio al por mayor (009)",473,7,13,59,41,243,,16,18,76,,,
"Comercio al por menor (010)",5724,2,38,199,32,3508,,231,15,1699,,,
"Hoteles y restaurantes (011)",1819,5,14,78,67,915,,,2,738,,,
"Trans., almac. y comunicaciones (012)",4417,2,33,145,207,55,,34,3103,838,,,
"Intermediación financiera (013)",183,,19,40,112,,,1,1,10,,,
"Activid.inmobil., empres. y alquileres (014)",2288,4,360,415,260,665,,58,54,472,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1872,27,87,91,375,33,,10,81,338,830,,
"Enseñanza (016)",2182,45,1996,17,76,,,1,3,44,,,
"Servicios sociales y de salud (017)",773,1,336,295,49,26,,5,8,53,,,
"Otras activ. serv.comun.soc y personales (018)",1214,5,74,181,121,150,,6,42,635,,,
"Hogares privados con servicio doméstico (019)",655,,,1,,,,,,654,,,
"Organiz. y organos extraterritoriales (020)",5,,1,,3,,,,,1,,,
"Actividad economica no especificada (021)",1103,,7,13,21,22,,,1,7,,1032,
"Desocupado (022)",2743,,,,,,,,,,,,2743
"Hombres (023)",33698,72,1378,1521,911,2627,4357,4270,5976,9312,804,647,1823
"Agric., ganadería, caza y silvicultura (024)",7807,,15,42,15,,2906,7,83,4739,,,
"Pesca (025)",1746,,11,13,16,,1451,10,17,228,,,
"Explotación de minas y canteras (026)",294,,10,51,19,1,,146,39,28,,,
"Industrias manufactureras (027)",3923,5,77,285,153,12,,2639,363,389,,,
"Suministro de electricidad, gas y agua (028)",127,1,5,15,9,,,44,26,27,,,
"Construcción (029)",3604,2,67,123,15,,,298,2119,980,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",3807,7,42,193,46,1577,,1013,90,839,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1035,1,17,45,7,110,,779,58,18,,,
"Comercio al por mayor (032)",312,4,8,39,29,131,,15,17,69,,,
"Comercio al por menor (033)",2460,2,17,109,10,1336,,219,15,752,,,
"Hoteles y restaurantes (034)",500,2,7,45,21,252,,,1,172,,,
"Trans., almac. y comunicaciones (035)",4148,2,27,100,151,43,,34,3063,728,,,
"Intermediación financiera (036)",102,,9,24,57,,,1,1,10,,,
"Activid.inmobil., empres. y alquileres (037)",1859,3,261,308,123,657,,57,52,398,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1472,17,65,63,186,31,,10,69,227,804,,
"Enseñanza (039)",683,28,594,11,23,,,1,3,23,,,
"Servicios sociales y de salud (040)",282,1,130,90,21,2,,4,8,26,,,
"Otras activ. serv.comun.soc y personales (041)",756,4,54,148,45,45,,6,41,413,,,
"Hogares privados con servicio doméstico (042)",79,,,,,,,,,79,,,
"Organiz. y organos extraterritoriales (043)",2,,,,2,,,,,,,,
"Actividad economica no especificada (044)",684,,4,10,9,7,,,1,6,,647,
"Desocupado (045)",1823,,,,,,,,,,,,1823
"Mujeres (046)",14400,36,1855,678,764,3173,532,956,139,4936,26,385,920
"Agric., ganadería, caza y silvicultura (047)",2467,,7,12,3,1,488,2,2,1952,,,
"Pesca (048)",80,,4,9,2,,44,,,21,,,
"Explotación de minas y canteras (049)",8,,,1,2,,,3,,2,,,
"Industrias manufactureras (050)",1360,1,25,54,49,9,,920,43,259,,,
"Suministro de electricidad, gas y agua (051)",9,,,1,2,,,1,2,3,,,
"Construcción (052)",104,,14,7,6,,,8,33,36,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",3508,3,29,117,47,2334,,20,3,955,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",83,,3,7,13,50,,7,2,1,,,
"Comercio al por mayor (055)",161,3,5,20,12,112,,1,1,7,,,
"Comercio al por menor (056)",3264,,21,90,22,2172,,12,,947,,,
"Hoteles y restaurantes (057)",1319,3,7,33,46,663,,,1,566,,,
"Trans., almac. y comunicaciones (058)",269,,6,45,56,12,,,40,110,,,
"Intermediación financiera (059)",81,,10,16,55,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",429,1,99,107,137,8,,1,2,74,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",400,10,22,28,189,2,,,12,111,26,,
"Enseñanza (062)",1499,17,1402,6,53,,,,,21,,,
"Servicios sociales y de salud (063)",491,,206,205,28,24,,1,,27,,,
"Otras activ. serv.comun.soc y personales (064)",458,1,20,33,76,105,,,1,222,,,
"Hogares privados con servicio doméstico (065)",576,,,1,,,,,,575,,,
"Organiz. y organos extraterritoriales (066)",3,,1,,1,,,,,1,,,
"Actividad economica no especificada (067)",419,,3,3,12,15,,,,1,,385,
"Desocupado (068)",920,,,,,,,,,,,,920
,,,,,,,,,,,,,
"URBANA (069)",42199,102,3100,2094,1604,5492,3086,5020,5780,11576,802,946,2597
"Agric., ganadería, caza y silvicultura (070)",6042,,16,44,17,1,1612,8,65,4279,,,
"Pesca (071)",1796,,15,21,17,,1474,10,17,242,,,
"Explotación de minas y canteras (072)",279,,10,45,16,1,,144,39,24,,,
"Industrias manufactureras (073)",5083,6,97,329,195,18,,3419,386,633,,,
"Suministro de electricidad, gas y agua (074)",128,1,5,15,11,,,45,25,26,,,
"Construcción (075)",3573,2,77,124,21,,,297,2075,977,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",7060,10,67,300,93,3764,,984,91,1751,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1048,1,20,47,20,143,,740,58,19,,,
"Comercio al por mayor (078)",461,7,13,57,41,233,,16,18,76,,,
"Comercio al por menor (079)",5551,2,34,196,32,3388,,228,15,1656,,,
"Hoteles y restaurantes (080)",1757,5,14,75,65,874,,,2,722,,,
"Trans., almac. y comunicaciones (081)",4179,2,33,139,199,52,,33,2910,811,,,
"Intermediación financiera (082)",180,,19,39,110,,,1,1,10,,,
"Activid.inmobil., empres. y alquileres (083)",2112,4,347,396,246,560,,57,53,449,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1788,23,86,88,360,33,,10,67,319,802,,
"Enseñanza (085)",2092,43,1912,17,74,,,1,3,42,,,
"Servicios sociales y de salud (086)",728,1,324,276,46,20,,5,7,49,,,
"Otras activ. serv.comun.soc y personales (087)",1168,5,70,175,111,148,,6,38,615,,,
"Hogares privados con servicio doméstico (088)",620,,,1,,,,,,619,,,
"Organiz. y organos extraterritoriales (089)",5,,1,,3,,,,,1,,,
"Actividad economica no especificada (090)",1012,,7,10,20,21,,,1,7,,946,
"Desocupado (091)",2597,,,,,,,,,,,,2597
"Hombres (092)",29080,69,1318,1439,871,2449,2751,4111,5647,7313,776,615,1721
"Agric., ganadería, caza y silvicultura (093)",4367,,12,33,14,,1320,6,63,2919,,,
"Pesca (094)",1718,,11,12,15,,1431,10,17,222,,,
"Explotación de minas y canteras (095)",272,,10,44,14,1,,141,39,23,,,
"Industrias manufactureras (096)",3786,5,74,277,148,10,,2545,345,382,,,
"Suministro de electricidad, gas y agua (097)",119,1,5,14,9,,,44,23,23,,,
"Construcción (098)",3471,2,63,118,15,,,289,2043,941,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",3667,7,39,184,46,1517,,965,88,821,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",973,1,17,40,7,100,,734,56,18,,,
"Comercio al por mayor (101)",307,4,8,38,29,127,,15,17,69,,,
"Comercio al por menor (102)",2387,2,14,106,10,1290,,216,15,734,,,
"Hoteles y restaurantes (103)",483,2,7,43,20,244,,,1,166,,,
"Trans., almac. y comunicaciones (104)",3916,2,27,95,144,40,,33,2873,702,,,
"Intermediación financiera (105)",101,,9,23,57,,,1,1,10,,,
"Activid.inmobil., empres. y alquileres (106)",1694,3,250,293,114,552,,56,51,375,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",1405,15,64,60,181,31,,10,55,213,776,,
"Enseñanza (108)",652,27,564,11,23,,,1,3,23,,,
"Servicios sociales y de salud (109)",267,1,127,83,19,2,,4,7,24,,,
"Otras activ. serv.comun.soc y personales (110)",722,4,52,142,41,45,,6,37,395,,,
"Hogares privados con servicio doméstico (111)",68,,,,,,,,,68,,,
"Organiz. y organos extraterritoriales (112)",2,,,,2,,,,,,,,
"Actividad economica no especificada (113)",649,,4,7,9,7,,,1,6,,615,
"Desocupado (114)",1721,,,,,,,,,,,,1721
"Mujeres (115)",13119,33,1782,655,733,3043,335,909,133,4263,26,331,876
"Agric., ganadería, caza y silvicultura (116)",1675,,4,11,3,1,292,2,2,1360,,,
"Pesca (117)",78,,4,9,2,,43,,,20,,,
"Explotación de minas y canteras (118)",7,,,1,2,,,3,,1,,,
"Industrias manufactureras (119)",1297,1,23,52,47,8,,874,41,251,,,
"Suministro de electricidad, gas y agua (120)",9,,,1,2,,,1,2,3,,,
"Construcción (121)",102,,14,6,6,,,8,32,36,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",3393,3,28,116,47,2247,,19,3,930,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",75,,3,7,13,43,,6,2,1,,,
"Comercio al por mayor (124)",154,3,5,19,12,106,,1,1,7,,,
"Comercio al por menor (125)",3164,,20,90,22,2098,,12,,922,,,
"Hoteles y restaurantes (126)",1274,3,7,32,45,630,,,1,556,,,
"Trans., almac. y comunicaciones (127)",263,,6,44,55,12,,,37,109,,,
"Intermediación financiera (128)",79,,10,16,53,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",418,1,97,103,132,8,,1,2,74,,,
