"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SULLANA (000)",285727,256988,28739
"Casa independiente (001)",283622,255020,28602
"Departamento en edificio (002)",988,988,
"Vivienda en quinta (003)",281,281,
"Vivienda en casa de vecindad (004)",305,305,
"Choza o cabaña (005)",127,,127
"Vivienda improvisada (006)",286,286,
"Local no dest.para hab. humana (007)",106,98,8
"Otro tipo (008)",12,10,2
