"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PATAZ (000)",1199,48,636,316,152,47
"Conviviente (001)",418,,144,212,54,8
"Separado(a) (002)",10,,6,2,2,
"Casado(a) (003)",180,,18,60,75,27
"Viudo(a) (004)",15,,,2,5,8
"Divorciado(a) (005)",4,,1,2,1,
"Soltero(a) (006)",572,48,467,38,15,4
"Hombres (008)",999,26,492,291,144,46
"Conviviente (009)",387,,129,198,52,8
"Separado(a) (010)",4,,1,1,2,
"Casado(a) (011)",174,,18,56,73,27
"Viudo(a) (012)",11,,,,4,7
"Divorciado(a) (013)",2,,,2,,
"Soltero(a) (014)",421,26,344,34,13,4
"Mujeres (016)",200,22,144,25,8,1
"Conviviente (017)",31,,15,14,2,
"Separado(a) (018)",6,,5,1,,
"Casado(a) (019)",6,,,4,2,
"Viudo(a) (020)",4,,,2,1,1
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",151,22,123,4,2,
,,,,,,
"AREA URBANA (024)",284,7,150,80,42,5
"Conviviente (025)",107,,37,53,16,1
"Separado(a) (026)",2,,,1,1,
"Casado(a) (027)",49,,6,18,22,3
"Viudo(a) (028)",3,,,,2,1
"Soltero(a) (030)",123,7,107,8,1,
"Hombres (032)",233,7,116,67,38,5
"Conviviente (033)",93,,31,46,15,1
"Separado(a) (034)",1,,,,1,
"Casado(a) (035)",44,,6,15,20,3
"Viudo(a) (036)",2,,,,1,1
"Soltero(a) (038)",93,7,79,6,1,
"Mujeres (040)",51,,34,13,4,
"Conviviente (041)",14,,6,7,1,
"Separado(a) (042)",1,,,1,,
"Casado(a) (043)",5,,,3,2,
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",30,,28,2,,
,,,,,,
"AREA RURAL (048)",915,41,486,236,110,42
"Conviviente (049)",311,,107,159,38,7
"Separado(a) (050)",8,,6,1,1,
"Casado(a) (051)",131,,12,42,53,24
"Viudo(a) (052)",12,,,2,3,7
"Divorciado(a) (053)",4,,1,2,1,
"Soltero(a) (054)",449,41,360,30,14,4
"Hombres (056)",766,19,376,224,106,41
"Conviviente (057)",294,,98,152,37,7
"Separado(a) (058)",3,,1,1,1,
"Casado(a) (059)",130,,12,41,53,24
"Viudo(a) (060)",9,,,,3,6
"Divorciado(a) (061)",2,,,2,,
"Soltero(a) (062)",328,19,265,28,12,4
"Mujeres (064)",149,22,110,12,4,1
"Conviviente (065)",17,,9,7,1,
"Separado(a) (066)",5,,5,,,
"Casado(a) (067)",1,,,1,,
"Viudo(a) (068)",3,,,2,,1
"Divorciado(a) (069)",2,,1,,1,
"Soltero(a) (070)",121,22,95,2,2,
