"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AMBO (000)",39495,7433,7059,6997,6268,4645,7093
"Conviviente (001)",11032,117,1794,3751,2875,1404,1091
"Separado(a) (002)",1115,11,158,228,242,224,252
"Casado(a) (003)",10355,14,278,1347,2425,2481,3810
"Viudo(a) (004)",2012,1,16,48,144,218,1585
"Divorciado(a) (005)",111,,6,15,18,30,42
"Soltero(a) (006)",14870,7290,4807,1608,564,288,313
"Hombres (008)",19666,3748,3549,3379,3149,2316,3525
"Conviviente (009)",5396,35,619,1781,1542,778,641
"Separado(a) (010)",276,1,14,35,58,69,99
"Casado(a) (011)",5126,7,88,543,1144,1219,2125
"Viudo(a) (012)",560,,2,7,41,57,453
"Divorciado(a) (013)",54,,,7,5,18,24
"Soltero(a) (014)",8254,3705,2826,1006,359,175,183
"Mujeres (016)",19829,3685,3510,3618,3119,2329,3568
"Conviviente (017)",5636,82,1175,1970,1333,626,450
"Separado(a) (018)",839,10,144,193,184,155,153
"Casado(a) (019)",5229,7,190,804,1281,1262,1685
"Viudo(a) (020)",1452,1,14,41,103,161,1132
"Divorciado(a) (021)",57,,6,8,13,12,18
"Soltero(a) (022)",6616,3585,1981,602,205,113,130
,,,,,,,
"URBANA (024)",13831,2518,2524,2318,2255,1685,2531
"Conviviente (025)",3125,42,489,1061,875,414,244
"Separado(a) (026)",471,5,43,94,121,103,105
"Casado(a) (027)",3983,8,86,487,982,954,1466
"Viudo(a) (028)",712,1,3,8,52,81,567
"Divorciado(a) (029)",53,,2,6,7,20,18
"Soltero(a) (030)",5487,2462,1901,662,218,113,131
"Hombres (032)",6730,1245,1249,1066,1108,832,1230
"Conviviente (033)",1497,18,163,460,474,240,142
"Separado(a) (034)",111,1,3,12,26,32,37
"Casado(a) (035)",1963,5,28,185,456,466,823
"Viudo(a) (036)",181,,,,15,18,148
"Divorciado(a) (037)",25,,,2,2,13,8
"Soltero(a) (038)",2953,1221,1055,407,135,63,72
"Mujeres (040)",7101,1273,1275,1252,1147,853,1301
"Conviviente (041)",1628,24,326,601,401,174,102
"Separado(a) (042)",360,4,40,82,95,71,68
"Casado(a) (043)",2020,3,58,302,526,488,643
"Viudo(a) (044)",531,1,3,8,37,63,419
"Divorciado(a) (045)",28,,2,4,5,7,10
"Soltero(a) (046)",2534,1241,846,255,83,50,59
,,,,,,,
"RURAL (048)",25664,4915,4535,4679,4013,2960,4562
"Conviviente (049)",7907,75,1305,2690,2000,990,847
"Separado(a) (050)",644,6,115,134,121,121,147
"Casado(a) (051)",6372,6,192,860,1443,1527,2344
"Viudo(a) (052)",1300,,13,40,92,137,1018
"Divorciado(a) (053)",58,,4,9,11,10,24
"Soltero(a) (054)",9383,4828,2906,946,346,175,182
"Hombres (056)",12936,2503,2300,2313,2041,1484,2295
"Conviviente (057)",3899,17,456,1321,1068,538,499
"Separado(a) (058)",165,,11,23,32,37,62
"Casado(a) (059)",3163,2,60,358,688,753,1302
"Viudo(a) (060)",379,,2,7,26,39,305
"Divorciado(a) (061)",29,,,5,3,5,16
"Soltero(a) (062)",5301,2484,1771,599,224,112,111
"Mujeres (064)",12728,2412,2235,2366,1972,1476,2267
"Conviviente (065)",4008,58,849,1369,932,452,348
"Separado(a) (066)",479,6,104,111,89,84,85
"Casado(a) (067)",3209,4,132,502,755,774,1042
"Viudo(a) (068)",921,,11,33,66,98,713
"Divorciado(a) (069)",29,,4,4,8,5,8
"Soltero(a) (070)",4082,2344,1135,347,122,63,71
