"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VICTOR FAJARDO (000)",8327,6296,890,544,597
"Agric., ganadería, caza y silvicultura (001)",4843,4522,265,48,8
"Pesca (002)",8,4,1,3,
"Explotación de minas y canteras (003)",594,162,149,182,101
"Industrias manufactureras (004)",128,96,18,10,4
"Suministro de electricidad, gas y agua (005)",4,3,,1,
"Construcción (006)",510,260,144,101,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",466,451,13,1,1
"Venta, mant.y rep. veh.autom y motoc. (008)",12,10,1,,1
"Comercio al por mayor (009)",11,9,2,,
"Comercio al por menor (010)",443,432,10,1,
"Hoteles y restaurantes (011)",225,209,9,7,
"Trans., almac. y comunicaciones (012)",113,80,14,11,8
"Intermediación financiera (013)",5,1,1,1,2
"Activid.inmobil., empres. y alquileres (014)",53,22,14,13,4
"Admin.pub. y defensa; p. segur soc.afil (015)",314,,,,314
"Enseñanza (016)",575,141,224,135,75
"Servicios sociales y de salud (017)",114,33,6,7,68
"Otras activ. serv.comun.soc y personales (018)",44,35,2,6,1
"Hogares privados con servicio doméstico (019)",57,57,,,
"Actividad economica no especificada (021)",274,220,30,18,6
"Hombres (022)",5569,4039,659,441,430
"Agric., ganadería, caza y silvicultura (023)",3330,3139,163,21,7
"Pesca (024)",7,3,1,3,
"Explotación de minas y canteras (025)",576,158,144,177,97
"Industrias manufactureras (026)",100,73,16,9,2
"Suministro de electricidad, gas y agua (027)",4,3,,1,
"Construcción (028)",465,246,127,88,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",170,159,9,1,1
"Venta, mant.y rep. veh.autom y motoc. (030)",11,9,1,,1
"Comercio al por mayor (031)",9,7,2,,
"Comercio al por menor (032)",150,143,6,1,
"Hoteles y restaurantes (033)",27,18,4,5,
"Trans., almac. y comunicaciones (034)",106,76,12,10,8
"Intermediación financiera (035)",2,,1,,1
"Activid.inmobil., empres. y alquileres (036)",36,16,10,10,
"Admin.pub. y defensa; p. segur soc.afil (037)",221,,,,221
"Enseñanza (038)",358,58,149,99,52
"Servicios sociales y de salud (039)",52,16,3,1,32
"Otras activ. serv.comun.soc y personales (040)",11,4,2,4,1
"Actividad economica no especificada (043)",104,70,18,12,4
"Mujeres (044)",2758,2257,231,103,167
