"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CARHUAZ (000)",12769,1602,2054,7067,145,1591,310
"Agric., ganadería, caza y silvicultura (001)",7348,22,1042,4958,49,1277,
"Pesca (002)",4,1,3,,,,
"Explotación de minas y canteras (003)",145,14,121,8,2,,
"Industrias manufactureras (004)",457,14,138,256,18,31,
"Suministro de electricidad, gas y agua (005)",11,2,9,,,,
"Construcción (006)",537,17,430,79,4,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1234,140,27,883,39,145,
"Venta, mant.y rep. veh.autom y motoc. (008)",84,10,24,44,6,,
"Comercio al por mayor (009)",53,11,1,29,3,9,
"Comercio al por menor (010)",1097,119,2,810,30,136,
"Hoteles y restaurantes (011)",350,88,12,211,12,27,
"Trans., almac. y comunicaciones (012)",595,166,90,321,7,11,
"Intermediación financiera (013)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (014)",202,138,22,40,2,,
"Admin.pub. y defensa; p. segur soc.afil (015)",396,292,104,,,,
"Enseñanza (016)",508,465,,42,,1,
"Servicios sociales y de salud (017)",124,101,,23,,,
"Otras activ. serv.comun.soc y personales (018)",245,91,25,120,6,3,
"Hogares privados con servicio doméstico (019)",310,,,,,,310
"Actividad economica no especificada (021)",299,47,31,126,6,89,
"Hombres (022)",9458,1009,1811,5695,104,833,6
"Agric., ganadería, caza y silvicultura (023)",6158,17,886,4486,39,730,
"Pesca (024)",4,1,3,,,,
"Explotación de minas y canteras (025)",139,13,116,8,2,,
"Industrias manufactureras (026)",359,11,117,197,16,18,
"Suministro de electricidad, gas y agua (027)",10,2,8,,,,
"Construcción (028)",518,16,414,77,4,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",552,88,24,376,23,41,
"Venta, mant.y rep. veh.autom y motoc. (030)",75,6,22,41,6,,
"Comercio al por mayor (031)",32,8,,17,2,5,
"Comercio al por menor (032)",445,74,2,318,15,36,
"Hoteles y restaurantes (033)",109,38,3,51,5,12,
"Trans., almac. y comunicaciones (034)",566,144,87,317,7,11,
"Intermediación financiera (035)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (036)",155,99,20,35,1,,
"Admin.pub. y defensa; p. segur soc.afil (037)",295,202,93,,,,
"Enseñanza (038)",271,255,,15,,1,
"Servicios sociales y de salud (039)",56,39,,17,,,
"Otras activ. serv.comun.soc y personales (040)",164,64,22,74,4,,
"Hogares privados con servicio doméstico (041)",6,,,,,,6
"Actividad economica no especificada (043)",93,17,18,42,3,13,
"Mujeres (044)",3311,593,243,1372,41,758,304
"Agric., ganadería, caza y silvicultura (045)",1190,5,156,472,10,547,
"Explotación de minas y canteras (047)",6,1,5,,,,
"Industrias manufactureras (048)",98,3,21,59,2,13,
"Suministro de electricidad, gas y agua (049)",1,,1,,,,
"Construcción (050)",19,1,16,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",682,52,3,507,16,104,
"Venta, mant.y rep. veh.autom y motoc. (052)",9,4,2,3,,,
"Comercio al por mayor (053)",21,3,1,12,1,4,
"Comercio al por menor (054)",652,45,,492,15,100,
"Hoteles y restaurantes (055)",241,50,9,160,7,15,
"Trans., almac. y comunicaciones (056)",29,22,3,4,,,
"Intermediación financiera (057)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (058)",47,39,2,5,1,,
"Admin.pub. y defensa; p. segur soc.afil (059)",101,90,11,,,,
"Enseñanza (060)",237,210,,27,,,
"Servicios sociales y de salud (061)",68,62,,6,,,
"Otras activ. serv.comun.soc y personales (062)",81,27,3,46,2,3,
"Hogares privados con servicio doméstico (063)",304,,,,,,304
"Actividad economica no especificada (065)",206,30,13,84,3,76,
,,,,,,,
"URBANA (066)",5200,1130,779,2495,102,546,148
"Agric., ganadería, caza y silvicultura (067)",1787,6,349,1084,24,324,
"Explotación de minas y canteras (069)",56,11,39,5,1,,
"Industrias manufactureras (070)",290,13,71,167,15,24,
"Suministro de electricidad, gas y agua (071)",3,,3,,,,
"Construcción (072)",254,11,181,55,2,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",873,94,15,612,34,118,
"Venta, mant.y rep. veh.autom y motoc. (074)",61,6,13,37,5,,
"Comercio al por mayor (075)",31,7,,15,3,6,
"Comercio al por menor (076)",781,81,2,560,26,112,
"Hoteles y restaurantes (077)",260,58,5,165,9,23,
"Trans., almac. y comunicaciones (078)",358,112,44,190,4,8,
"Intermediación financiera (079)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (080)",143,96,10,35,2,,
"Admin.pub. y defensa; p. segur soc.afil (081)",248,214,34,,,,
"Enseñanza (082)",381,352,,28,,1,
"Servicios sociales y de salud (083)",86,75,,11,,,
"Otras activ. serv.comun.soc y personales (084)",151,56,14,72,6,3,
"Hogares privados con servicio doméstico (085)",148,,,,,,148
"Actividad economica no especificada (087)",159,29,14,71,5,40,
"Hombres (088)",3409,678,674,1731,71,250,5
"Agric., ganadería, caza y silvicultura (089)",1423,4,286,942,19,172,
"Explotación de minas y canteras (091)",53,10,37,5,1,,
"Industrias manufactureras (092)",220,10,59,124,14,13,
"Suministro de electricidad, gas y agua (093)",2,,2,,,,
"Construcción (094)",248,10,178,53,2,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",381,57,13,258,20,33,
"Venta, mant.y rep. veh.autom y motoc. (096)",53,3,11,34,5,,
"Comercio al por mayor (097)",21,5,,10,2,4,
"Comercio al por menor (098)",307,49,2,214,13,29,
"Hoteles y restaurantes (099)",78,18,1,44,3,12,
"Trans., almac. y comunicaciones (100)",338,96,43,187,4,8,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",107,68,8,30,1,,
"Admin.pub. y defensa; p. segur soc.afil (103)",170,144,26,,,,
"Enseñanza (104)",195,185,,9,,1,
"Servicios sociales y de salud (105)",36,28,,8,,,
"Otras activ. serv.comun.soc y personales (106)",95,36,12,43,4,,
"Hogares privados con servicio doméstico (107)",5,,,,,,5
"Actividad economica no especificada (109)",56,10,9,28,3,6,
"Mujeres (110)",1791,452,105,764,31,296,143
"Agric., ganadería, caza y silvicultura (111)",364,2,63,142,5,152,
"Explotación de minas y canteras (113)",3,1,2,,,,
"Industrias manufactureras (114)",70,3,12,43,1,11,
"Suministro de electricidad, gas y agua (115)",1,,1,,,,
"Construcción (116)",6,1,3,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",492,37,2,354,14,85,
"Venta, mant.y rep. veh.autom y motoc. (118)",8,3,2,3,,,
"Comercio al por mayor (119)",10,2,,5,1,2,
"Comercio al por menor (120)",474,32,,346,13,83,
"Hoteles y restaurantes (121)",182,40,4,121,6,11,
"Trans., almac. y comunicaciones (122)",20,16,1,3,,,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",36,28,2,5,1,,
