"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONCEPCION (000)",56470,2638,6893,7464,5968,8879,7504,11985,5139
"Sabe leer y escribir (001)",47978,,5155,7390,5895,8666,7117,10315,3440
"No sabe leer y escribir (002)",8492,2638,1738,74,73,213,387,1670,1699
"Hombres (004)",27403,1315,3449,3827,3050,4370,3539,5487,2366
"Sabe leer y escribir (005)",24423,,2562,3796,3030,4307,3462,5220,2046
"No sabe leer y escribir (006)",2980,1315,887,31,20,63,77,267,320
"Mujeres (008)",29067,1323,3444,3637,2918,4509,3965,6498,2773
"Sabe leer y escribir (009)",23555,,2593,3594,2865,4359,3655,5095,1394
"No sabe leer y escribir (010)",5512,1323,851,43,53,150,310,1403,1379
,,,,,,,,,
"URBANA (012)",28982,1160,3020,3514,3290,4657,3971,6563,2807
"Sabe leer y escribir (013)",25854,,2397,3493,3263,4601,3861,6083,2156
"No sabe leer y escribir (014)",3128,1160,623,21,27,56,110,480,651
"Hombres (016)",13807,577,1567,1817,1672,2201,1770,2930,1273
"Sabe leer y escribir (017)",12679,,1226,1810,1666,2179,1747,2858,1193
"No sabe leer y escribir (018)",1128,577,341,7,6,22,23,72,80
"Mujeres (020)",15175,583,1453,1697,1618,2456,2201,3633,1534
"Sabe leer y escribir (021)",13175,,1171,1683,1597,2422,2114,3225,963
"No sabe leer y escribir (022)",2000,583,282,14,21,34,87,408,571
,,,,,,,,,
"RURAL (024)",27488,1478,3873,3950,2678,4222,3533,5422,2332
"Sabe leer y escribir (025)",22124,,2758,3897,2632,4065,3256,4232,1284
"No sabe leer y escribir (026)",5364,1478,1115,53,46,157,277,1190,1048
"Hombres (028)",13596,738,1882,2010,1378,2169,1769,2557,1093
"Sabe leer y escribir (029)",11744,,1336,1986,1364,2128,1715,2362,853
"No sabe leer y escribir (030)",1852,738,546,24,14,41,54,195,240
"Mujeres (032)",13892,740,1991,1940,1300,2053,1764,2865,1239
"Sabe leer y escribir (033)",10380,,1422,1911,1268,1937,1541,1870,431
"No sabe leer y escribir (034)",3512,740,569,29,32,116,223,995,808
