"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ATALAYA (000)",12743,35867,32597,,1373,90.9,3.8
"De 12 a 14 años (001)",1569,23,23,,8,100,34.8
"De 15 a 19 años (002)",2376,1273,1209,277,95,21.8,
"De 20 a 24 años (003)",1924,3552,3333,365,93.8,10.3,
"De 25 a 29 años (004)",1556,4299,4073,283,94.7,6.6,
"De 30 a 34 años (005)",1281,4906,4564,219,93,4.5,
"De 35 a 39 años (006)",1117,5354,4904,154,91.6,2.9,
"De 40 a 44 años (007)",837,4364,3960,44,90.7,1,
"De 45 a 49 años (008)",692,4088,3665,23,89.7,0.6,
"De 50 y más años (009)",1391,8008,6866,,85.7,,
"PEA (010)",4055,12513,11382,380,91,3,
"De 12 a 14 años (011)",152,6,6,1,100,16.7,
"De 15 a 19 años (012)",562,333,311,61,93.4,18.3,
"De 20 a 24 años (013)",672,1167,1083,107,92.8,9.2,
"De 25 a 29 años (014)",612,1489,1426,74,95.8,5,
"De 30 a 34 años (015)",522,1787,1673,71,93.6,4,
"De 35 a 39 años (016)",440,1837,1690,41,92,2.2,
"De 40 a 44 años (017)",393,1961,1799,19,91.7,1,
"De 45 a 49 años (018)",272,1472,1299,6,88.2,0.4,
"De 50 y más años (019)",430,2461,2095,,85.1,,
"Ocupada (020)",3880,12093,10990,359,90.9,3,
"De 12 a 14 años (021)",134,6,6,1,100,16.7,
"De 15 a 19 años (022)",516,310,290,59,93.5,19,
"De 20 a 24 años (023)",635,1101,1019,99,92.6,9,
"De 25 a 29 años (024)",593,1429,1366,71,95.6,5,
"De 30 a 34 años (025)",510,1727,1619,69,93.7,4,
"De 35 a 39 años (026)",425,1775,1639,37,92.3,2.1,
"De 40 a 44 años (027)",377,1872,1714,17,91.6,0.9,
"De 45 a 49 años (028)",264,1430,1260,6,88.1,0.4,
"De 50 y más años (029)",426,2443,2077,,85,,
"Desocupada (030)",175,420,392,21,93.3,5,
"De 12 a 14 años (031)",18,,,,,,
"De 15 a 19 años (032)",46,23,21,2,91.3,8.7,
"De 20 a 24 años (033)",37,66,64,8,97,12.1,
"De 25 a 29 años (034)",19,60,60,3,100,5,
"De 30 a 34 años (035)",12,60,54,2,90,3.3,
"De 35 a 39 años (036)",15,62,51,4,82.3,6.5,
