"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YAULI (000)",48147,42472,5675
"Casa independiente (001)",36603,32706,3897
"Departamento en edificio (002)",4867,4867,
"Vivienda en quinta (003)",2327,2327,
"Vivienda en casa de vecindad (004)",2454,2454,
"Choza o cabaña (005)",1741,,1741
"Vivienda improvisada (006)",24,24,
"Local no dest.para hab. humana (007)",69,56,13
"Otro tipo (008)",62,38,24
