"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PURUS (000)",1053,18,384,438,187,26
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",9,,2,4,3,
"Profes., científicos e intelectuales (002)",161,,46,92,23,
"Técnicos de nivel medio y trab. asimilados (003)",28,,6,18,4,
"Jefes y empleados de oficina (004)",81,,24,42,15,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",69,5,25,28,11,
"Agricult. trabaj. calif.agrop. y pesqueros (006)",303,,103,119,66,15
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",51,1,17,17,14,2
"Obreros construc., conf., papel, fab., instr. (008)",52,1,19,25,6,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",184,11,92,59,20,2
"Otra (010)",9,,7,2,,
"Ocupación no especificada (011)",106,,43,32,25,6
"Hombres (012)",824,15,300,329,157,23
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",5,,1,2,2,
"Profes., científicos e intelectuales (014)",103,,25,58,20,
"Técnicos de nivel medio y trab. asimilados (015)",27,,6,17,4,
"Jefes y empleados de oficina (016)",56,,17,28,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",36,3,15,12,6,
"Agricult. trabaj. calif.agrop. y pesqueros (018)",289,,97,114,63,15
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",48,1,16,16,13,2
"Obreros construc., conf., papel, fab., instr. (020)",49,1,19,23,5,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",120,10,66,32,11,1
"Otra (022)",9,,7,2,,
"Ocupación no especificada (023)",82,,31,25,22,4
"Mujeres (024)",229,3,84,109,30,3
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,1,2,1,
"Profes., científicos e intelectuales (026)",58,,21,34,3,
"Técnicos de nivel medio y trab. asimilados (027)",1,,,1,,
"Jefes y empleados de oficina (028)",25,,7,14,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",33,2,10,16,5,
"Agricult. trabaj. calif.agrop. y pesqueros (030)",14,,6,5,3,
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",3,,1,1,1,
"Obreros construc., conf., papel, fab., instr. (032)",3,,,2,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",64,1,26,27,9,1
"Ocupación no especificada (035)",24,,12,7,3,2
,,,,,,
"URBANA (036)",470,13,159,207,84,7
